stimFile,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_respons.keys,key_respons.corr,key_respons.rt,session,noise,participant,frameRate,expName,date,
x.png,tab,0,0,0,1,tab,1,0.216763019562,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
+.png,None,0,1,1,0,None,1,,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
x.png,tab,1,0,2,1,tab,1,0.100161075592,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
+.png,None,1,1,3,0,None,1,,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
+.png,None,2,0,4,0,None,1,,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
x.png,tab,2,1,5,1,tab,1,0.166806936264,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
x.png,tab,3,0,6,1,tab,1,0.36673617363,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
+.png,None,3,1,7,0,None,1,,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
x.png,tab,4,0,8,1,tab,1,0.0834941864014,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
+.png,None,4,1,9,0,None,1,,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
x.png,tab,5,0,10,1,tab,1,0.333442926407,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
+.png,None,5,1,11,0,tab,0,0.40007686615,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
x.png,tab,6,0,12,1,tab,1,0.216777086258,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
+.png,None,6,1,13,0,None,1,,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
+.png,None,7,0,14,0,tab,0,0.233512163162,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
x.png,tab,7,1,15,1,tab,1,0.333401918411,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
+.png,None,8,0,16,0,None,1,,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
x.png,tab,8,1,17,1,tab,1,0.133481025696,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
+.png,None,9,0,18,0,None,1,,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
x.png,tab,9,1,19,1,tab,1,0.250108003616,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
x.png,tab,10,0,20,1,tab,1,0.283308029175,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
+.png,None,10,1,21,0,None,1,,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
+.png,None,11,0,22,0,None,1,,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
x.png,tab,11,1,23,1,tab,1,0.150156021118,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
x.png,tab,12,0,24,1,tab,1,0.233449935913,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
+.png,None,12,1,25,0,None,1,,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
x.png,tab,13,0,26,1,tab,1,0.266754150391,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
+.png,None,13,1,27,0,None,1,,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
x.png,tab,14,0,28,1,tab,1,0.183464050293,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
+.png,None,14,1,29,0,None,1,,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
+.png,None,15,0,30,0,None,1,,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
x.png,tab,15,1,31,1,tab,1,0.166790008545,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
+.png,None,16,0,32,0,None,1,,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
x.png,tab,16,1,33,1,tab,1,0.250204086304,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
+.png,None,17,0,34,0,None,1,,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
x.png,tab,17,1,35,1,tab,1,0.216696977615,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
x.png,tab,18,0,36,1,tab,1,0.300205945969,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
+.png,None,18,1,37,0,None,1,,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
x.png,tab,19,0,38,1,tab,1,0.183395147324,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
+.png,None,19,1,39,0,None,1,,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
+.png,None,20,0,40,0,None,1,,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
x.png,tab,20,1,41,1,tab,1,0.133453130722,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
x.png,tab,21,0,42,1,tab,1,0.316752910614,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
+.png,None,21,1,43,0,None,1,,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
x.png,tab,22,0,44,1,tab,1,0.233505964279,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
+.png,None,22,1,45,0,None,1,,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
x.png,tab,23,0,46,1,tab,1,0.216793060303,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
+.png,None,23,1,47,0,None,1,,2,y,BBJ7,59.9754338752,go_no-go,2017_maj_24_1812,
