10.0384 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f2df40c5b90>, name='window1', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.0385 	EXP 	window1: recordFrameIntervals = False
10.2209 	EXP 	window1: recordFrameIntervals = True
10.4044 	EXP 	window1: recordFrameIntervals = False
10.4830 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.085, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
10.4840 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x7f2dfcc070d0>: vertices = array([[-1.5,  1.5],
       [ 1.5,  1.5],
       [ 1.5, -1.5],
       [-1.5, -1.5]])
10.4858 	EXP 	Created cue = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([-1., -1., -1.]), fillColorSpace='rgb', fillRGB=array([-1., -1., -1.]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=1, name='cue', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...))
10.4897 	EXP 	Created stimulus = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stimulus', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.25,  0.5 ]), texRes=128, units=u'norm', win=Window(...))
10.4926 	EXP 	text: autoDraw = True
14.3859 	DATA 	Keypress: space
14.3919 	EXP 	Imported condtitions.xlsx as conditions, 2 conditions, 2 params
14.3924 	EXP 	Created sequence: random, trialTypes=2, nReps=30, seed=None
14.3928 	EXP 	New trial (rep=0, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
14.4800 	EXP 	text: autoDraw = False
14.4800 	EXP 	stimulus: image = u'x.png'
14.4800 	EXP 	cue: autoDraw = True
14.5025 	DATA 	Keypress: space
14.5523 	EXP 	cue: autoDraw = False
16.0683 	EXP 	stimulus: autoDraw = True
16.2015 	EXP 	stimulus: autoDraw = False
16.4350 	DATA 	Keypress: tab
18.6850 	EXP 	New trial (rep=0, index=1): {u'stimFile': u'+.png', u'corrAns': None}
18.7005 	EXP 	cue: autoDraw = False
18.7005 	EXP 	stimulus: autoDraw = False
18.7005 	EXP 	stimulus: image = u'+.png'
18.7005 	EXP 	cue: autoDraw = True
18.8504 	EXP 	cue: autoDraw = False
20.3665 	EXP 	stimulus: autoDraw = True
20.4997 	EXP 	stimulus: autoDraw = False
22.9829 	EXP 	New trial (rep=1, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
23.0653 	EXP 	cue: autoDraw = False
23.0653 	EXP 	stimulus: autoDraw = False
23.0653 	EXP 	stimulus: image = u'x.png'
23.0653 	EXP 	cue: autoDraw = True
23.1486 	EXP 	cue: autoDraw = False
24.6646 	EXP 	stimulus: autoDraw = True
24.7979 	EXP 	stimulus: autoDraw = False
24.9147 	DATA 	Keypress: tab
27.2812 	EXP 	New trial (rep=1, index=1): {u'stimFile': u'+.png', u'corrAns': None}
27.2968 	EXP 	cue: autoDraw = False
27.2968 	EXP 	stimulus: autoDraw = False
27.2968 	EXP 	stimulus: image = u'+.png'
27.2968 	EXP 	cue: autoDraw = True
27.4468 	EXP 	cue: autoDraw = False
28.9629 	EXP 	stimulus: autoDraw = True
29.0961 	EXP 	stimulus: autoDraw = False
31.5792 	EXP 	New trial (rep=2, index=0): {u'stimFile': u'+.png', u'corrAns': None}
31.5950 	EXP 	cue: autoDraw = False
31.5950 	EXP 	stimulus: autoDraw = False
31.5950 	EXP 	stimulus: image = u'+.png'
31.5950 	EXP 	cue: autoDraw = True
31.7449 	EXP 	cue: autoDraw = False
33.2609 	EXP 	stimulus: autoDraw = True
