12.7980 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fc57a049b90>, name='window1', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
12.7980 	EXP 	window1: recordFrameIntervals = False
12.9803 	EXP 	window1: recordFrameIntervals = True
13.1638 	EXP 	window1: recordFrameIntervals = False
13.2422 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.085, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
13.2432 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x7fc582b8b0d0>: vertices = array([[-1.5,  1.5],
       [ 1.5,  1.5],
       [ 1.5, -1.5],
       [-1.5, -1.5]])
13.2451 	EXP 	Created cue = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([-1., -1., -1.]), fillColorSpace='rgb', fillRGB=array([-1., -1., -1.]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=1, name='cue', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...))
13.2493 	EXP 	Created stimulus = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stimulus', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.25,  0.5 ]), texRes=128, units=u'norm', win=Window(...))
13.2524 	EXP 	text: autoDraw = True
16.4627 	DATA 	Keypress: p
16.4685 	EXP 	Imported condtitions.xlsx as conditions, 2 conditions, 2 params
16.4690 	EXP 	Created sequence: random, trialTypes=2, nReps=30, seed=None
16.4694 	EXP 	New trial (rep=0, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
16.5585 	EXP 	text: autoDraw = False
16.5585 	EXP 	stimulus: image = u'x.png'
16.5585 	EXP 	cue: autoDraw = True
16.6288 	EXP 	cue: autoDraw = False
18.1448 	EXP 	stimulus: autoDraw = True
18.2781 	EXP 	stimulus: autoDraw = False
18.9114 	DATA 	Keypress: tab
20.7616 	EXP 	New trial (rep=0, index=1): {u'stimFile': u'+.png', u'corrAns': None}
20.7770 	EXP 	cue: autoDraw = False
20.7770 	EXP 	stimulus: autoDraw = False
20.7770 	EXP 	stimulus: image = u'+.png'
20.7770 	EXP 	cue: autoDraw = True
20.9269 	EXP 	cue: autoDraw = False
22.4430 	EXP 	stimulus: autoDraw = True
22.5762 	EXP 	stimulus: autoDraw = False
25.0597 	EXP 	New trial (rep=1, index=0): {u'stimFile': u'+.png', u'corrAns': None}
25.0751 	EXP 	cue: autoDraw = False
25.0751 	EXP 	stimulus: autoDraw = False
25.0751 	EXP 	stimulus: image = u'+.png'
25.0751 	EXP 	cue: autoDraw = True
25.2251 	EXP 	cue: autoDraw = False
26.7579 	EXP 	stimulus: autoDraw = True
26.8744 	EXP 	stimulus: autoDraw = False
29.3575 	EXP 	New trial (rep=1, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
29.4384 	EXP 	cue: autoDraw = False
29.4384 	EXP 	stimulus: autoDraw = False
29.4384 	EXP 	stimulus: image = u'x.png'
29.4384 	EXP 	cue: autoDraw = True
29.5233 	EXP 	cue: autoDraw = False
31.0393 	EXP 	stimulus: autoDraw = True
31.1726 	EXP 	stimulus: autoDraw = False
31.4727 	DATA 	Keypress: tab
33.6560 	EXP 	New trial (rep=2, index=0): {u'stimFile': u'+.png', u'corrAns': None}
33.6715 	EXP 	cue: autoDraw = False
33.6715 	EXP 	stimulus: autoDraw = False
33.6715 	EXP 	stimulus: image = u'+.png'
33.6715 	EXP 	cue: autoDraw = True
33.8214 	EXP 	cue: autoDraw = False
35.3375 	EXP 	stimulus: autoDraw = True
35.4707 	EXP 	stimulus: autoDraw = False
37.9538 	EXP 	New trial (rep=2, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
38.0350 	EXP 	cue: autoDraw = False
38.0350 	EXP 	stimulus: autoDraw = False
38.0350 	EXP 	stimulus: image = u'x.png'
38.0350 	EXP 	cue: autoDraw = True
38.1196 	EXP 	cue: autoDraw = False
39.6356 	EXP 	stimulus: autoDraw = True
39.7689 	EXP 	stimulus: autoDraw = False
40.0191 	DATA 	Keypress: tab
42.2522 	EXP 	New trial (rep=3, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
