14.8140 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f5521359b90>, name='window1', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
14.8141 	EXP 	window1: recordFrameIntervals = False
14.9799 	EXP 	window1: recordFrameIntervals = True
15.1797 	WARNING 	t of last frame was 33.32ms (=1/30)
15.3465 	EXP 	window1: recordFrameIntervals = False
15.4261 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.085, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
15.4271 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x7f5529e9b0d0>: vertices = array([[-1.5,  1.5],
       [ 1.5,  1.5],
       [ 1.5, -1.5],
       [-1.5, -1.5]])
15.4295 	EXP 	Created cue = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([-1., -1., -1.]), fillColorSpace='rgb', fillRGB=array([-1., -1., -1.]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=1, name='cue', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...))
15.4337 	EXP 	Created stimulus = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stimulus', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.25,  0.5 ]), texRes=128, units=u'norm', win=Window(...))
15.4366 	EXP 	text: autoDraw = True
43.4350 	DATA 	Keypress: space
43.4408 	EXP 	Imported condtitions.xlsx as conditions, 2 conditions, 2 params
43.4413 	EXP 	Created sequence: random, trialTypes=2, nReps=30, seed=None
43.4417 	EXP 	New trial (rep=0, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
43.5282 	EXP 	text: autoDraw = False
43.5282 	EXP 	stimulus: image = u'x.png'
43.5282 	EXP 	cue: autoDraw = True
43.6009 	EXP 	cue: autoDraw = False
45.1170 	EXP 	stimulus: autoDraw = True
45.2503 	EXP 	stimulus: autoDraw = False
45.5836 	DATA 	Keypress: tab
47.7337 	EXP 	New trial (rep=0, index=1): {u'stimFile': u'+.png', u'corrAns': None}
47.7491 	EXP 	cue: autoDraw = False
47.7491 	EXP 	stimulus: autoDraw = False
47.7491 	EXP 	stimulus: image = u'+.png'
47.7491 	EXP 	cue: autoDraw = True
47.8991 	EXP 	cue: autoDraw = False
