stimFile,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_respons.keys,key_respons.corr,key_respons.rt,session,noise,participant,frameRate,expName,date,
x.png,tab,0,0,0,1,tab,1,0.250113010406,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
+.png,None,0,1,1,0,None,1,,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
x.png,tab,1,0,2,1,tab,1,0.30005979538,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
+.png,None,1,1,3,0,None,1,,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
+.png,None,2,0,4,0,None,1,,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
x.png,tab,2,1,5,1,tab,1,0.150168895721,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
x.png,tab,3,0,6,1,tab,1,0.316736936569,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
+.png,None,3,1,7,0,None,1,,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
+.png,None,4,0,8,0,None,1,,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
x.png,tab,4,1,9,1,tab,1,0.216773986816,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
x.png,tab,5,0,10,1,tab,1,0.233446836472,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
+.png,None,5,1,11,0,None,1,,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
x.png,tab,6,0,12,1,tab,1,0.233970880508,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
+.png,None,6,1,13,0,None,1,,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
x.png,tab,7,0,14,1,tab,1,0.28337097168,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
+.png,None,7,1,15,0,None,1,,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
x.png,tab,8,0,16,1,tab,1,0.166809797287,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
+.png,None,8,1,17,0,None,1,,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
x.png,tab,9,0,18,1,tab,1,0.166848182678,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
+.png,None,9,1,19,0,None,1,,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
x.png,tab,10,0,20,1,tab,1,0.16681098938,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
+.png,None,10,1,21,0,None,1,,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
x.png,tab,11,0,22,1,tab,1,0.183474063873,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
+.png,None,11,1,23,0,None,1,,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
x.png,tab,12,0,24,1,tab,1,0.150147199631,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
+.png,None,12,1,25,0,None,1,,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
+.png,None,13,0,26,0,None,1,,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
x.png,tab,13,1,27,1,tab,1,0.233589887619,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
x.png,tab,14,0,28,1,tab,1,0.666682958603,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
+.png,None,14,1,29,0,None,1,,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
+.png,None,15,0,30,0,None,1,,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
x.png,tab,15,1,31,1,tab,1,0.216920852661,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
+.png,None,16,0,32,0,None,1,,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
x.png,tab,16,1,33,1,tab,1,0.31672000885,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
+.png,None,17,0,34,0,None,1,,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
x.png,tab,17,1,35,1,tab,1,0.266625881195,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
+.png,None,18,0,36,0,None,1,,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
x.png,tab,18,1,37,1,tab,1,0.300306081772,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
x.png,tab,19,0,38,1,tab,1,0.30010008812,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
+.png,None,19,1,39,0,None,1,,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
+.png,None,20,0,40,0,None,1,,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
x.png,tab,20,1,41,1,tab,1,0.183454036713,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
+.png,None,21,0,42,0,None,1,,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
x.png,tab,21,1,43,1,tab,1,0.300127983093,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
x.png,tab,22,0,44,1,tab,1,0.416718959808,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
+.png,None,22,1,45,0,None,1,,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
x.png,tab,23,0,46,1,tab,1,0.250062942505,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
+.png,None,23,1,47,0,None,1,,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
x.png,tab,24,0,48,1,tab,1,0.300024986267,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
+.png,None,24,1,49,0,None,1,,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
+.png,None,25,0,50,0,None,1,,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
x.png,tab,25,1,51,1,tab,1,0.250062942505,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
+.png,None,26,0,52,0,None,1,,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
x.png,tab,26,1,53,1,tab,1,0.466758966446,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
x.png,tab,27,0,54,1,None,0,,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
+.png,None,27,1,55,0,None,1,,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
x.png,tab,28,0,56,1,tab,1,0.216804027557,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
+.png,None,28,1,57,0,None,1,,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
x.png,tab,29,0,58,1,tab,1,0.20050406456,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
+.png,None,29,1,59,0,None,1,,2,y,BJJ4,59.9995422398,go_no-go,2017_maj_24_1722,
