13.9031 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fb9711bbb90>, name='window1', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.9032 	EXP 	window1: recordFrameIntervals = False
14.0689 	EXP 	window1: recordFrameIntervals = True
14.2690 	WARNING 	t of last frame was 33.56ms (=1/29)
14.4356 	EXP 	window1: recordFrameIntervals = False
14.5138 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.085, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
14.5148 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x7fb979cfd0d0>: vertices = array([[-1.5,  1.5],
       [ 1.5,  1.5],
       [ 1.5, -1.5],
       [-1.5, -1.5]])
14.5166 	EXP 	Created cue = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([-1., -1., -1.]), fillColorSpace='rgb', fillRGB=array([-1., -1., -1.]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=1, name='cue', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...))
14.5206 	EXP 	Created stimulus = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stimulus', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.25,  0.5 ]), texRes=128, units=u'norm', win=Window(...))
14.5234 	EXP 	text: autoDraw = True
42.5737 	DATA 	Keypress: tab
42.5794 	EXP 	Imported condtitions.xlsx as conditions, 2 conditions, 2 params
42.5798 	EXP 	Created sequence: random, trialTypes=2, nReps=30, seed=None
42.5802 	EXP 	New trial (rep=0, index=0): {u'stimFile': u'+.png', u'corrAns': None}
42.5899 	EXP 	text: autoDraw = False
42.5899 	EXP 	stimulus: image = u'+.png'
42.5899 	EXP 	cue: autoDraw = True
42.7400 	EXP 	cue: autoDraw = False
44.2560 	EXP 	stimulus: autoDraw = True
44.3894 	EXP 	stimulus: autoDraw = False
46.8726 	EXP 	New trial (rep=0, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
46.9611 	EXP 	cue: autoDraw = False
46.9611 	EXP 	stimulus: autoDraw = False
46.9611 	EXP 	stimulus: image = u'x.png'
46.9611 	EXP 	cue: autoDraw = True
47.0381 	EXP 	cue: autoDraw = False
48.5542 	EXP 	stimulus: autoDraw = True
48.6875 	EXP 	stimulus: autoDraw = False
48.9709 	DATA 	Keypress: tab
51.1708 	EXP 	New trial (rep=1, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
51.2519 	EXP 	cue: autoDraw = False
51.2519 	EXP 	stimulus: autoDraw = False
51.2519 	EXP 	stimulus: image = u'x.png'
51.2519 	EXP 	cue: autoDraw = True
51.3363 	EXP 	cue: autoDraw = False
52.8523 	EXP 	stimulus: autoDraw = True
52.9856 	EXP 	stimulus: autoDraw = False
53.2190 	DATA 	Keypress: tab
55.4690 	EXP 	New trial (rep=1, index=1): {u'stimFile': u'+.png', u'corrAns': None}
55.4846 	EXP 	cue: autoDraw = False
55.4846 	EXP 	stimulus: autoDraw = False
55.4846 	EXP 	stimulus: image = u'+.png'
55.4846 	EXP 	cue: autoDraw = True
55.6345 	EXP 	cue: autoDraw = False
57.1505 	EXP 	stimulus: autoDraw = True
57.2838 	EXP 	stimulus: autoDraw = False
59.7669 	EXP 	New trial (rep=2, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
59.8503 	EXP 	cue: autoDraw = False
59.8503 	EXP 	stimulus: autoDraw = False
59.8503 	EXP 	stimulus: image = u'x.png'
59.8503 	EXP 	cue: autoDraw = True
59.9327 	EXP 	cue: autoDraw = False
61.4486 	EXP 	stimulus: autoDraw = True
61.5820 	EXP 	stimulus: autoDraw = False
61.8654 	DATA 	Keypress: tab
64.0652 	EXP 	New trial (rep=2, index=1): {u'stimFile': u'+.png', u'corrAns': None}
64.0809 	EXP 	cue: autoDraw = False
64.0809 	EXP 	stimulus: autoDraw = False
64.0809 	EXP 	stimulus: image = u'+.png'
64.0809 	EXP 	cue: autoDraw = True
64.2308 	EXP 	cue: autoDraw = False
65.7468 	EXP 	stimulus: autoDraw = True
65.8801 	EXP 	stimulus: autoDraw = False
68.3633 	EXP 	New trial (rep=3, index=0): {u'stimFile': u'+.png', u'corrAns': None}
68.3792 	EXP 	cue: autoDraw = False
68.3792 	EXP 	stimulus: autoDraw = False
68.3792 	EXP 	stimulus: image = u'+.png'
68.3792 	EXP 	cue: autoDraw = True
68.5290 	EXP 	cue: autoDraw = False
70.0450 	EXP 	stimulus: autoDraw = True
70.1782 	EXP 	stimulus: autoDraw = False
72.6615 	EXP 	New trial (rep=3, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
72.7441 	EXP 	cue: autoDraw = False
