7.7685 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f43321c9b90>, name='window1', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.7686 	EXP 	window1: recordFrameIntervals = False
7.9507 	EXP 	window1: recordFrameIntervals = True
8.1341 	EXP 	window1: recordFrameIntervals = False
8.2107 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.085, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
8.2117 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x7f433ace90d0>: vertices = array([[-1.5,  1.5],
       [ 1.5,  1.5],
       [ 1.5, -1.5],
       [-1.5, -1.5]])
8.2135 	EXP 	Created cue = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([-1., -1., -1.]), fillColorSpace='rgb', fillRGB=array([-1., -1., -1.]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=1, name='cue', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...))
8.2175 	EXP 	Created stimulus = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stimulus', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.25,  0.5 ]), texRes=128, units=u'norm', win=Window(...))
8.2203 	EXP 	text: autoDraw = True
38.6379 	DATA 	Keypress: tab
38.6434 	EXP 	Imported condtitions.xlsx as conditions, 2 conditions, 2 params
38.6439 	EXP 	Created sequence: random, trialTypes=2, nReps=30, seed=None
38.6442 	EXP 	New trial (rep=0, index=0): {u'stimFile': u'+.png', u'corrAns': None}
38.6542 	EXP 	text: autoDraw = False
38.6542 	EXP 	stimulus: image = u'+.png'
38.6542 	EXP 	cue: autoDraw = True
38.8042 	EXP 	cue: autoDraw = False
40.3200 	EXP 	stimulus: autoDraw = True
40.4535 	EXP 	stimulus: autoDraw = False
42.9368 	EXP 	New trial (rep=0, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
43.0291 	EXP 	cue: autoDraw = False
43.0291 	EXP 	stimulus: autoDraw = False
43.0291 	EXP 	stimulus: image = u'x.png'
43.0291 	EXP 	cue: autoDraw = True
43.1190 	EXP 	cue: autoDraw = False
44.6183 	EXP 	stimulus: autoDraw = True
44.7516 	EXP 	stimulus: autoDraw = False
44.9684 	DATA 	Keypress: tab
47.2349 	EXP 	New trial (rep=1, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
47.3113 	EXP 	cue: autoDraw = False
47.3113 	EXP 	stimulus: autoDraw = False
47.3113 	EXP 	stimulus: image = u'x.png'
47.3113 	EXP 	cue: autoDraw = True
47.4004 	EXP 	cue: autoDraw = False
48.9165 	EXP 	stimulus: autoDraw = True
49.0498 	EXP 	stimulus: autoDraw = False
49.3499 	DATA 	Keypress: tab
51.5331 	EXP 	New trial (rep=1, index=1): {u'stimFile': u'+.png', u'corrAns': None}
51.5487 	EXP 	cue: autoDraw = False
51.5487 	EXP 	stimulus: autoDraw = False
51.5487 	EXP 	stimulus: image = u'+.png'
51.5487 	EXP 	cue: autoDraw = True
51.6987 	EXP 	cue: autoDraw = False
53.2313 	EXP 	stimulus: autoDraw = True
53.3479 	EXP 	stimulus: autoDraw = False
55.8311 	EXP 	New trial (rep=2, index=0): {u'stimFile': u'+.png', u'corrAns': None}
55.8468 	EXP 	cue: autoDraw = False
55.8468 	EXP 	stimulus: autoDraw = False
55.8468 	EXP 	stimulus: image = u'+.png'
55.8468 	EXP 	cue: autoDraw = True
55.9968 	EXP 	cue: autoDraw = False
57.5128 	EXP 	stimulus: autoDraw = True
57.6461 	EXP 	stimulus: autoDraw = False
60.1292 	EXP 	New trial (rep=2, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
60.2123 	EXP 	cue: autoDraw = False
60.2123 	EXP 	stimulus: autoDraw = False
60.2123 	EXP 	stimulus: image = u'x.png'
60.2123 	EXP 	cue: autoDraw = True
60.2950 	EXP 	cue: autoDraw = False
