10.9689 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f63affa1b90>, name='window1', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.9690 	EXP 	window1: recordFrameIntervals = False
11.1513 	EXP 	window1: recordFrameIntervals = True
11.3347 	EXP 	window1: recordFrameIntervals = False
11.4161 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.085, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
11.4172 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x7f63b8ae30d0>: vertices = array([[-1.5,  1.5],
       [ 1.5,  1.5],
       [ 1.5, -1.5],
       [-1.5, -1.5]])
11.4191 	EXP 	Created cue = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([-1., -1., -1.]), fillColorSpace='rgb', fillRGB=array([-1., -1., -1.]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=1, name='cue', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...))
11.4230 	EXP 	Created stimulus = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stimulus', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.25,  0.5 ]), texRes=128, units=u'norm', win=Window(...))
11.4259 	EXP 	text: autoDraw = True
42.5048 	DATA 	Keypress: tab
42.5104 	EXP 	Imported condtitions.xlsx as conditions, 2 conditions, 2 params
42.5108 	EXP 	Created sequence: random, trialTypes=2, nReps=30, seed=None
42.5112 	EXP 	New trial (rep=0, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
42.5991 	EXP 	text: autoDraw = False
42.5991 	EXP 	stimulus: image = u'x.png'
42.5991 	EXP 	cue: autoDraw = True
42.6712 	EXP 	cue: autoDraw = False
44.2039 	EXP 	stimulus: autoDraw = True
44.3205 	EXP 	stimulus: autoDraw = False
44.7705 	DATA 	Keypress: tab
46.8039 	EXP 	New trial (rep=0, index=1): {u'stimFile': u'+.png', u'corrAns': None}
46.8194 	EXP 	cue: autoDraw = False
46.8194 	EXP 	stimulus: autoDraw = False
46.8194 	EXP 	stimulus: image = u'+.png'
46.8194 	EXP 	cue: autoDraw = True
46.9693 	EXP 	cue: autoDraw = False
48.4854 	EXP 	stimulus: autoDraw = True
48.6186 	EXP 	stimulus: autoDraw = False
51.1183 	EXP 	New trial (rep=1, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
51.2038 	EXP 	cue: autoDraw = False
51.2038 	EXP 	stimulus: autoDraw = False
51.2038 	EXP 	stimulus: image = u'x.png'
51.2038 	EXP 	cue: autoDraw = True
51.2842 	EXP 	cue: autoDraw = False
52.8002 	EXP 	stimulus: autoDraw = True
52.9334 	EXP 	stimulus: autoDraw = False
53.1169 	DATA 	Keypress: tab
55.4168 	EXP 	New trial (rep=1, index=1): {u'stimFile': u'+.png', u'corrAns': None}
55.4324 	EXP 	cue: autoDraw = False
55.4324 	EXP 	stimulus: autoDraw = False
55.4324 	EXP 	stimulus: image = u'+.png'
55.4324 	EXP 	cue: autoDraw = True
55.5823 	EXP 	cue: autoDraw = False
57.0984 	EXP 	stimulus: autoDraw = True
57.2317 	EXP 	stimulus: autoDraw = False
59.7147 	EXP 	New trial (rep=2, index=0): {u'stimFile': u'+.png', u'corrAns': None}
59.7306 	EXP 	cue: autoDraw = False
59.7306 	EXP 	stimulus: autoDraw = False
59.7306 	EXP 	stimulus: image = u'+.png'
59.7306 	EXP 	cue: autoDraw = True
59.8805 	EXP 	cue: autoDraw = False
61.3966 	EXP 	stimulus: autoDraw = True
61.5297 	EXP 	stimulus: autoDraw = False
61.7466 	DATA 	Keypress: tab
64.0130 	EXP 	New trial (rep=2, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
64.0947 	EXP 	cue: autoDraw = False
64.0947 	EXP 	stimulus: autoDraw = False
64.0947 	EXP 	stimulus: image = u'x.png'
64.0947 	EXP 	cue: autoDraw = True
64.1786 	EXP 	cue: autoDraw = False
65.6947 	EXP 	stimulus: autoDraw = True
65.8280 	EXP 	stimulus: autoDraw = False
66.0614 	DATA 	Keypress: tab
68.3112 	EXP 	New trial (rep=3, index=0): {u'stimFile': u'+.png', u'corrAns': None}
