12.7304 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f7de0955b90>, name='window1', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
12.7305 	EXP 	window1: recordFrameIntervals = False
12.8962 	EXP 	window1: recordFrameIntervals = True
13.0627 	WARNING 	t of last frame was 33.28ms (=1/30)
13.2295 	EXP 	window1: recordFrameIntervals = False
13.3072 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.085, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
13.3082 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x7f7de94970d0>: vertices = array([[-1.5,  1.5],
       [ 1.5,  1.5],
       [ 1.5, -1.5],
       [-1.5, -1.5]])
13.3101 	EXP 	Created cue = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([-1., -1., -1.]), fillColorSpace='rgb', fillRGB=array([-1., -1., -1.]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=1, name='cue', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...))
13.3139 	EXP 	Created stimulus = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stimulus', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.25,  0.5 ]), texRes=128, units=u'norm', win=Window(...))
13.3167 	EXP 	text: autoDraw = True
42.3842 	DATA 	Keypress: space
42.3897 	EXP 	Imported condtitions.xlsx as conditions, 2 conditions, 2 params
42.3902 	EXP 	Created sequence: random, trialTypes=2, nReps=30, seed=None
42.3906 	EXP 	New trial (rep=0, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
42.4776 	EXP 	text: autoDraw = False
42.4776 	EXP 	stimulus: image = u'x.png'
42.4776 	EXP 	cue: autoDraw = True
42.5501 	EXP 	cue: autoDraw = False
44.0661 	EXP 	stimulus: autoDraw = True
44.1994 	EXP 	stimulus: autoDraw = False
44.5328 	DATA 	Keypress: tab
46.6829 	EXP 	New trial (rep=0, index=1): {u'stimFile': u'+.png', u'corrAns': None}
46.6983 	EXP 	cue: autoDraw = False
46.6983 	EXP 	stimulus: autoDraw = False
46.6983 	EXP 	stimulus: image = u'+.png'
46.6983 	EXP 	cue: autoDraw = True
46.8482 	EXP 	cue: autoDraw = False
48.3643 	EXP 	stimulus: autoDraw = True
48.4976 	EXP 	stimulus: autoDraw = False
50.9807 	EXP 	New trial (rep=1, index=0): {u'stimFile': u'+.png', u'corrAns': None}
50.9965 	EXP 	cue: autoDraw = False
50.9965 	EXP 	stimulus: autoDraw = False
50.9965 	EXP 	stimulus: image = u'+.png'
50.9965 	EXP 	cue: autoDraw = True
51.1464 	EXP 	cue: autoDraw = False
52.6624 	EXP 	stimulus: autoDraw = True
52.7957 	EXP 	stimulus: autoDraw = False
54.2954 	DATA 	Keypress: tab
55.2790 	EXP 	New trial (rep=1, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
55.3623 	EXP 	cue: autoDraw = False
55.3623 	EXP 	stimulus: autoDraw = False
55.3623 	EXP 	stimulus: image = u'x.png'
55.3623 	EXP 	cue: autoDraw = True
55.4446 	EXP 	cue: autoDraw = False
56.9606 	EXP 	stimulus: autoDraw = True
57.0939 	EXP 	stimulus: autoDraw = False
57.3440 	DATA 	Keypress: tab
59.5772 	EXP 	New trial (rep=2, index=0): {u'stimFile': u'+.png', u'corrAns': None}
59.5928 	EXP 	cue: autoDraw = False
59.5928 	EXP 	stimulus: autoDraw = False
59.5928 	EXP 	stimulus: image = u'+.png'
59.5928 	EXP 	cue: autoDraw = True
59.7427 	EXP 	cue: autoDraw = False
61.2587 	EXP 	stimulus: autoDraw = True
61.3921 	EXP 	stimulus: autoDraw = False
63.8753 	EXP 	New trial (rep=2, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
63.9567 	EXP 	cue: autoDraw = False
63.9567 	EXP 	stimulus: autoDraw = False
63.9567 	EXP 	stimulus: image = u'x.png'
63.9567 	EXP 	cue: autoDraw = True
64.0409 	EXP 	cue: autoDraw = False
65.5570 	EXP 	stimulus: autoDraw = True
65.6902 	EXP 	stimulus: autoDraw = False
65.8408 	DATA 	Keypress: tab
68.1735 	EXP 	New trial (rep=3, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
68.2532 	EXP 	cue: autoDraw = False
68.2532 	EXP 	stimulus: autoDraw = False
68.2532 	EXP 	stimulus: image = u'x.png'
68.2532 	EXP 	cue: autoDraw = True
68.3391 	EXP 	cue: autoDraw = False
69.8551 	EXP 	stimulus: autoDraw = True
69.9884 	EXP 	stimulus: autoDraw = False
70.3051 	DATA 	Keypress: tab
72.4716 	EXP 	New trial (rep=3, index=1): {u'stimFile': u'+.png', u'corrAns': None}
72.4873 	EXP 	cue: autoDraw = False
