9.5778 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fd1ee574b90>, name='window1', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.5779 	EXP 	window1: recordFrameIntervals = False
9.7602 	EXP 	window1: recordFrameIntervals = True
9.9436 	EXP 	window1: recordFrameIntervals = False
10.0200 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.085, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
10.0210 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x7fd1f70b60d0>: vertices = array([[-1.5,  1.5],
       [ 1.5,  1.5],
       [ 1.5, -1.5],
       [-1.5, -1.5]])
10.0228 	EXP 	Created cue = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([-1., -1., -1.]), fillColorSpace='rgb', fillRGB=array([-1., -1., -1.]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=1, name='cue', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...))
10.0269 	EXP 	Created stimulus = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stimulus', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.25,  0.5 ]), texRes=128, units=u'norm', win=Window(...))
10.0298 	EXP 	text: autoDraw = True
11.7095 	DATA 	Mouse: wheel shift=(0,-1), pos=(534,577)
11.7603 	DATA 	Mouse: wheel shift=(0,-1), pos=(534,577)
11.8095 	DATA 	Keypress: f
11.8149 	EXP 	Imported condtitions.xlsx as conditions, 2 conditions, 2 params
11.8154 	EXP 	Created sequence: random, trialTypes=2, nReps=30, seed=None
11.8157 	EXP 	New trial (rep=0, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
11.9062 	EXP 	text: autoDraw = False
11.9062 	EXP 	stimulus: image = u'x.png'
11.9062 	EXP 	cue: autoDraw = True
11.9760 	EXP 	cue: autoDraw = False
13.1422 	DATA 	Mouse: wheel shift=(0,-1), pos=(534,578)
13.4919 	EXP 	stimulus: autoDraw = True
13.6252 	EXP 	stimulus: autoDraw = False
14.0585 	DATA 	Keypress: tab
16.1086 	EXP 	New trial (rep=0, index=1): {u'stimFile': u'+.png', u'corrAns': None}
16.1242 	EXP 	cue: autoDraw = False
16.1242 	EXP 	stimulus: autoDraw = False
16.1242 	EXP 	stimulus: image = u'+.png'
16.1242 	EXP 	cue: autoDraw = True
16.2740 	EXP 	cue: autoDraw = False
17.7901 	EXP 	stimulus: autoDraw = True
17.9234 	EXP 	stimulus: autoDraw = False
