11.8740 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f7389ce8b90>, name='window1', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
11.8740 	EXP 	window1: recordFrameIntervals = False
12.0564 	EXP 	window1: recordFrameIntervals = True
12.2399 	EXP 	window1: recordFrameIntervals = False
12.3193 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.085, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
12.3203 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x7f739282a0d0>: vertices = array([[-1.5,  1.5],
       [ 1.5,  1.5],
       [ 1.5, -1.5],
       [-1.5, -1.5]])
12.3222 	EXP 	Created cue = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([-1., -1., -1.]), fillColorSpace='rgb', fillRGB=array([-1., -1., -1.]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=1, name='cue', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...))
12.3261 	EXP 	Created stimulus = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stimulus', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.25,  0.5 ]), texRes=128, units=u'norm', win=Window(...))
12.3290 	EXP 	text: autoDraw = True
19.6201 	DATA 	Keypress: tab
19.6258 	EXP 	Imported condtitions.xlsx as conditions, 2 conditions, 2 params
19.6263 	EXP 	Created sequence: random, trialTypes=2, nReps=30, seed=None
19.6267 	EXP 	New trial (rep=0, index=0): {u'stimFile': u'+.png', u'corrAns': None}
19.6368 	EXP 	text: autoDraw = False
19.6368 	EXP 	stimulus: image = u'+.png'
19.6368 	EXP 	cue: autoDraw = True
19.7864 	EXP 	cue: autoDraw = False
21.3024 	EXP 	stimulus: autoDraw = True
21.4358 	EXP 	stimulus: autoDraw = False
23.9191 	EXP 	New trial (rep=0, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
24.0069 	EXP 	cue: autoDraw = False
24.0069 	EXP 	stimulus: autoDraw = False
24.0069 	EXP 	stimulus: image = u'x.png'
24.0069 	EXP 	cue: autoDraw = True
24.0846 	EXP 	cue: autoDraw = False
25.6006 	EXP 	stimulus: autoDraw = True
25.7339 	EXP 	stimulus: autoDraw = False
25.8841 	DATA 	Keypress: tab
28.2172 	EXP 	New trial (rep=1, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
28.2936 	EXP 	cue: autoDraw = False
28.2936 	EXP 	stimulus: autoDraw = False
28.2936 	EXP 	stimulus: image = u'x.png'
28.2936 	EXP 	cue: autoDraw = True
28.3828 	EXP 	cue: autoDraw = False
29.8988 	EXP 	stimulus: autoDraw = True
30.0321 	EXP 	stimulus: autoDraw = False
30.2655 	DATA 	Keypress: tab
32.5153 	EXP 	New trial (rep=1, index=1): {u'stimFile': u'+.png', u'corrAns': None}
32.5310 	EXP 	cue: autoDraw = False
32.5310 	EXP 	stimulus: autoDraw = False
32.5310 	EXP 	stimulus: image = u'+.png'
32.5310 	EXP 	cue: autoDraw = True
32.6809 	EXP 	cue: autoDraw = False
34.1970 	EXP 	stimulus: autoDraw = True
34.3303 	EXP 	stimulus: autoDraw = False
36.8134 	EXP 	New trial (rep=2, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
36.8950 	EXP 	cue: autoDraw = False
36.8950 	EXP 	stimulus: autoDraw = False
36.8950 	EXP 	stimulus: image = u'x.png'
36.8950 	EXP 	cue: autoDraw = True
36.9792 	EXP 	cue: autoDraw = False
38.4951 	EXP 	stimulus: autoDraw = True
38.6450 	EXP 	stimulus: autoDraw = False
38.7784 	DATA 	Keypress: tab
41.1117 	EXP 	New trial (rep=2, index=1): {u'stimFile': u'+.png', u'corrAns': None}
41.1273 	EXP 	cue: autoDraw = False
41.1273 	EXP 	stimulus: autoDraw = False
41.1273 	EXP 	stimulus: image = u'+.png'
41.1273 	EXP 	cue: autoDraw = True
41.2939 	EXP 	cue: autoDraw = False
42.7933 	EXP 	stimulus: autoDraw = True
42.9266 	EXP 	stimulus: autoDraw = False
45.4098 	EXP 	New trial (rep=3, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
45.4967 	EXP 	cue: autoDraw = False
45.4967 	EXP 	stimulus: autoDraw = False
45.4967 	EXP 	stimulus: image = u'x.png'
45.4967 	EXP 	cue: autoDraw = True
45.5753 	EXP 	cue: autoDraw = False
47.0915 	EXP 	stimulus: autoDraw = True
47.2247 	EXP 	stimulus: autoDraw = False
47.3416 	DATA 	Keypress: tab
49.7082 	EXP 	New trial (rep=3, index=1): {u'stimFile': u'+.png', u'corrAns': None}
49.7237 	EXP 	cue: autoDraw = False
49.7237 	EXP 	stimulus: autoDraw = False
49.7237 	EXP 	stimulus: image = u'+.png'
49.7237 	EXP 	cue: autoDraw = True
49.8736 	EXP 	cue: autoDraw = False
51.3897 	EXP 	stimulus: autoDraw = True
51.5230 	EXP 	stimulus: autoDraw = False
54.0061 	EXP 	New trial (rep=4, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
54.0879 	EXP 	cue: autoDraw = False
54.0879 	EXP 	stimulus: autoDraw = False
54.0879 	EXP 	stimulus: image = u'x.png'
54.0879 	EXP 	cue: autoDraw = True
54.1718 	EXP 	cue: autoDraw = False
55.6878 	EXP 	stimulus: autoDraw = True
