106.5356 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fc94187bb90>, name='window1', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
106.5356 	EXP 	window1: recordFrameIntervals = False
106.7012 	EXP 	window1: recordFrameIntervals = True
106.9013 	EXP 	window1: recordFrameIntervals = False
106.9814 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.085, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
106.9824 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x7fc94a3bd0d0>: vertices = array([[-1.5,  1.5],
       [ 1.5,  1.5],
       [ 1.5, -1.5],
       [-1.5, -1.5]])
106.9843 	EXP 	Created cue = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([-1., -1., -1.]), fillColorSpace='rgb', fillRGB=array([-1., -1., -1.]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=1, name='cue', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...))
106.9882 	EXP 	Created stimulus = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stimulus', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.25,  0.5 ]), texRes=128, units=u'norm', win=Window(...))
106.9911 	EXP 	text: autoDraw = True
149.7665 	DATA 	Keypress: l
149.7729 	EXP 	Imported condtitions.xlsx as conditions, 2 conditions, 2 params
149.7735 	EXP 	Created sequence: random, trialTypes=2, nReps=30, seed=None
149.7739 	EXP 	New trial (rep=0, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
149.8621 	EXP 	text: autoDraw = False
149.8621 	EXP 	stimulus: image = u'x.png'
149.8621 	EXP 	cue: autoDraw = True
149.9328 	EXP 	cue: autoDraw = False
151.4488 	EXP 	stimulus: autoDraw = True
151.5821 	EXP 	stimulus: autoDraw = False
151.9155 	DATA 	Keypress: tab
154.0657 	EXP 	New trial (rep=0, index=1): {u'stimFile': u'+.png', u'corrAns': None}
154.0810 	EXP 	cue: autoDraw = False
154.0810 	EXP 	stimulus: autoDraw = False
154.0810 	EXP 	stimulus: image = u'+.png'
154.0810 	EXP 	cue: autoDraw = True
154.2309 	EXP 	cue: autoDraw = False
155.7470 	EXP 	stimulus: autoDraw = True
155.8802 	EXP 	stimulus: autoDraw = False
156.0303 	DATA 	Keypress: tab
158.3636 	EXP 	New trial (rep=1, index=0): {u'stimFile': u'+.png', u'corrAns': None}
158.3792 	EXP 	cue: autoDraw = False
158.3792 	EXP 	stimulus: autoDraw = False
158.3792 	EXP 	stimulus: image = u'+.png'
158.3792 	EXP 	cue: autoDraw = True
158.5291 	EXP 	cue: autoDraw = False
160.0618 	EXP 	stimulus: autoDraw = True
160.1784 	EXP 	stimulus: autoDraw = False
162.6616 	EXP 	New trial (rep=1, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
162.7454 	EXP 	cue: autoDraw = False
162.7454 	EXP 	stimulus: autoDraw = False
162.7454 	EXP 	stimulus: image = u'x.png'
162.7454 	EXP 	cue: autoDraw = True
162.8273 	EXP 	cue: autoDraw = False
164.3433 	EXP 	stimulus: autoDraw = True
164.4766 	EXP 	stimulus: autoDraw = False
164.6934 	DATA 	Keypress: tab
166.9598 	EXP 	New trial (rep=2, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
167.0379 	EXP 	cue: autoDraw = False
167.0379 	EXP 	stimulus: autoDraw = False
167.0379 	EXP 	stimulus: image = u'x.png'
167.0379 	EXP 	cue: autoDraw = True
167.1254 	EXP 	cue: autoDraw = False
168.6415 	EXP 	stimulus: autoDraw = True
168.7747 	EXP 	stimulus: autoDraw = False
169.0248 	DATA 	Keypress: tab
171.2581 	EXP 	New trial (rep=2, index=1): {u'stimFile': u'+.png', u'corrAns': None}
171.2737 	EXP 	cue: autoDraw = False
171.2737 	EXP 	stimulus: autoDraw = False
171.2737 	EXP 	stimulus: image = u'+.png'
171.2737 	EXP 	cue: autoDraw = True
171.4235 	EXP 	cue: autoDraw = False
172.9396 	EXP 	stimulus: autoDraw = True
173.0729 	EXP 	stimulus: autoDraw = False
175.5560 	EXP 	New trial (rep=3, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
175.6372 	EXP 	cue: autoDraw = False
175.6372 	EXP 	stimulus: autoDraw = False
175.6372 	EXP 	stimulus: image = u'x.png'
175.6372 	EXP 	cue: autoDraw = True
175.7217 	EXP 	cue: autoDraw = False
177.2378 	EXP 	stimulus: autoDraw = True
177.3711 	EXP 	stimulus: autoDraw = False
177.5545 	DATA 	Keypress: tab
179.8544 	EXP 	New trial (rep=3, index=1): {u'stimFile': u'+.png', u'corrAns': None}
179.8700 	EXP 	cue: autoDraw = False
179.8700 	EXP 	stimulus: autoDraw = False
179.8700 	EXP 	stimulus: image = u'+.png'
179.8700 	EXP 	cue: autoDraw = True
180.0199 	EXP 	cue: autoDraw = False
181.5360 	EXP 	stimulus: autoDraw = True
181.6692 	EXP 	stimulus: autoDraw = False
184.1525 	EXP 	New trial (rep=4, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
184.2334 	EXP 	cue: autoDraw = False
184.2334 	EXP 	stimulus: autoDraw = False
184.2334 	EXP 	stimulus: image = u'x.png'
184.2334 	EXP 	cue: autoDraw = True
184.3181 	EXP 	cue: autoDraw = False
185.8341 	EXP 	stimulus: autoDraw = True
185.9674 	EXP 	stimulus: autoDraw = False
186.2842 	DATA 	Keypress: tab
188.4507 	EXP 	New trial (rep=4, index=1): {u'stimFile': u'+.png', u'corrAns': None}
188.4663 	EXP 	cue: autoDraw = False
188.4663 	EXP 	stimulus: autoDraw = False
188.4663 	EXP 	stimulus: image = u'+.png'
188.4663 	EXP 	cue: autoDraw = True
188.6163 	EXP 	cue: autoDraw = False
190.1323 	EXP 	stimulus: autoDraw = True
190.2656 	EXP 	stimulus: autoDraw = False
192.7487 	EXP 	New trial (rep=5, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
192.8359 	EXP 	cue: autoDraw = False
192.8359 	EXP 	stimulus: autoDraw = False
192.8359 	EXP 	stimulus: image = u'x.png'
192.8359 	EXP 	cue: autoDraw = True
192.9144 	EXP 	cue: autoDraw = False
194.4305 	EXP 	stimulus: autoDraw = True
194.5638 	EXP 	stimulus: autoDraw = False
194.7972 	DATA 	Keypress: tab
197.0477 	EXP 	New trial (rep=5, index=1): {u'stimFile': u'+.png', u'corrAns': None}
197.0627 	EXP 	cue: autoDraw = False
197.0627 	EXP 	stimulus: autoDraw = False
197.0627 	EXP 	stimulus: image = u'+.png'
197.0627 	EXP 	cue: autoDraw = True
197.2126 	EXP 	cue: autoDraw = False
198.7286 	EXP 	stimulus: autoDraw = True
198.8619 	EXP 	stimulus: autoDraw = False
201.3450 	EXP 	New trial (rep=6, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
201.4272 	EXP 	cue: autoDraw = False
201.4272 	EXP 	stimulus: autoDraw = False
201.4272 	EXP 	stimulus: image = u'x.png'
201.4272 	EXP 	cue: autoDraw = True
201.5108 	EXP 	cue: autoDraw = False
203.0269 	EXP 	stimulus: autoDraw = True
203.1601 	EXP 	stimulus: autoDraw = False
203.4268 	DATA 	Keypress: tab
205.6434 	EXP 	New trial (rep=6, index=1): {u'stimFile': u'+.png', u'corrAns': None}
205.6590 	EXP 	cue: autoDraw = False
205.6590 	EXP 	stimulus: autoDraw = False
205.6590 	EXP 	stimulus: image = u'+.png'
205.6590 	EXP 	cue: autoDraw = True
205.8090 	EXP 	cue: autoDraw = False
207.3250 	EXP 	stimulus: autoDraw = True
207.4749 	EXP 	stimulus: autoDraw = False
209.9414 	EXP 	New trial (rep=7, index=0): {u'stimFile': u'+.png', u'corrAns': None}
209.9572 	EXP 	cue: autoDraw = False
209.9572 	EXP 	stimulus: autoDraw = False
209.9572 	EXP 	stimulus: image = u'+.png'
209.9572 	EXP 	cue: autoDraw = True
210.1071 	EXP 	cue: autoDraw = False
211.6231 	EXP 	stimulus: autoDraw = True
211.7564 	EXP 	stimulus: autoDraw = False
214.2395 	EXP 	New trial (rep=7, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
214.3222 	EXP 	cue: autoDraw = False
214.3222 	EXP 	stimulus: autoDraw = False
214.3222 	EXP 	stimulus: image = u'x.png'
214.3222 	EXP 	cue: autoDraw = True
214.4220 	EXP 	cue: autoDraw = False
215.9213 	EXP 	stimulus: autoDraw = True
216.0546 	EXP 	stimulus: autoDraw = False
216.5879 	DATA 	Keypress: tab
218.5378 	EXP 	New trial (rep=8, index=0): {u'stimFile': u'+.png', u'corrAns': None}
218.5535 	EXP 	cue: autoDraw = False
218.5535 	EXP 	stimulus: autoDraw = False
218.5535 	EXP 	stimulus: image = u'+.png'
218.5535 	EXP 	cue: autoDraw = True
218.7035 	EXP 	cue: autoDraw = False
