20.2969 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x15C49F90>, name='window1', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
20.2970 	EXP 	window1: recordFrameIntervals = False
20.4855 	EXP 	window1: recordFrameIntervals = True
20.5479 	WARNING 	t of last frame was 31.25ms (=1/31)
20.5792 	WARNING 	t of last frame was 31.28ms (=1/31)
20.6105 	WARNING 	t of last frame was 31.33ms (=1/31)
20.6417 	WARNING 	t of last frame was 31.17ms (=1/32)
20.6731 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
20.8295 	EXP 	window1: recordFrameIntervals = False
21.0863 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.085, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
21.2106 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x0817B410>: vertices = array([[-1.5,  1.5],
       [ 1.5,  1.5],
       [ 1.5, -1.5],
       [-1.5, -1.5]])
21.2129 	EXP 	Created cue = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([-1., -1., -1.]), fillColorSpace='rgb', fillRGB=array([-1., -1., -1.]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=1, name='cue', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...))
21.2160 	EXP 	Created stimulus = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stimulus', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.25,  0.5 ]), texRes=128, units=u'norm', win=Window(...))
21.2363 	EXP 	text: autoDraw = True
55.3096 	DATA 	Keypress: space
55.3586 	EXP 	Imported condtitions.xlsx as conditions, 2 conditions, 2 params
55.3593 	EXP 	Created sequence: random, trialTypes=2, nReps=30, seed=None
55.3598 	EXP 	New trial (rep=0, index=0): {u'stimFile': u'+.png', u'corrAns': None}
55.3921 	EXP 	text: autoDraw = False
55.3921 	EXP 	stimulus: image = u'+.png'
55.5649 	EXP 	cue: autoDraw = True
55.6895 	EXP 	cue: autoDraw = False
57.2210 	EXP 	stimulus: autoDraw = True
57.3460 	EXP 	stimulus: autoDraw = False
59.7852 	EXP 	New trial (rep=0, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
