12.1720 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x155EEF90>, name='window1', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
12.1721 	EXP 	window1: recordFrameIntervals = False
12.4845 	EXP 	window1: recordFrameIntervals = True
12.8276 	EXP 	window1: recordFrameIntervals = False
13.0843 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.085, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
13.0888 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x07BBB410>: vertices = array([[-1.5,  1.5],
       [ 1.5,  1.5],
       [ 1.5, -1.5],
       [-1.5, -1.5]])
13.0912 	EXP 	Created cue = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([-1., -1., -1.]), fillColorSpace='rgb', fillRGB=array([-1., -1., -1.]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=1, name='cue', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...))
13.0940 	EXP 	Created stimulus = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stimulus', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.25,  0.5 ]), texRes=128, units=u'norm', win=Window(...))
13.1247 	EXP 	text: autoDraw = True
24.4359 	DATA 	Keypress: space
24.4469 	EXP 	Imported condtitions.xlsx as conditions, 2 conditions, 2 params
24.4475 	EXP 	Created sequence: random, trialTypes=2, nReps=30, seed=None
24.4481 	EXP 	New trial (rep=0, index=0): {u'stimFile': u'+.png', u'corrAns': None}
24.4688 	EXP 	text: autoDraw = False
24.4688 	EXP 	stimulus: image = u'+.png'
24.6549 	EXP 	cue: autoDraw = True
24.7794 	EXP 	cue: autoDraw = False
26.2798 	EXP 	stimulus: autoDraw = True
26.4363 	EXP 	stimulus: autoDraw = False
28.8904 	EXP 	New trial (rep=0, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
29.0927 	EXP 	cue: autoDraw = False
29.0927 	EXP 	stimulus: autoDraw = False
29.0927 	EXP 	stimulus: image = u'x.png'
29.0927 	EXP 	cue: autoDraw = True
29.2174 	EXP 	cue: autoDraw = False
30.7351 	EXP 	stimulus: autoDraw = True
30.8604 	EXP 	stimulus: autoDraw = False
31.0793 	DATA 	Keypress: tab
33.3321 	EXP 	New trial (rep=1, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
33.5484 	EXP 	cue: autoDraw = False
33.5484 	EXP 	stimulus: autoDraw = False
33.5484 	EXP 	stimulus: image = u'x.png'
33.5484 	EXP 	cue: autoDraw = True
33.6418 	EXP 	cue: autoDraw = False
35.1714 	EXP 	stimulus: autoDraw = True
35.2963 	EXP 	stimulus: autoDraw = False
35.5153 	DATA 	Keypress: tab
37.7823 	EXP 	New trial (rep=1, index=1): {u'stimFile': u'+.png', u'corrAns': None}
37.8475 	EXP 	cue: autoDraw = False
37.8475 	EXP 	stimulus: autoDraw = False
37.8475 	EXP 	stimulus: image = u'+.png'
37.9684 	EXP 	cue: autoDraw = True
38.0935 	EXP 	cue: autoDraw = False
39.6043 	EXP 	stimulus: autoDraw = True
39.7505 	EXP 	stimulus: autoDraw = False
42.2209 	EXP 	New trial (rep=2, index=0): {u'stimFile': u'+.png', u'corrAns': None}
42.2660 	EXP 	cue: autoDraw = False
42.2660 	EXP 	stimulus: autoDraw = False
42.2660 	EXP 	stimulus: image = u'+.png'
42.4223 	EXP 	cue: autoDraw = True
42.5476 	EXP 	cue: autoDraw = False
44.0789 	EXP 	stimulus: autoDraw = True
44.2039 	EXP 	stimulus: autoDraw = False
46.6740 	EXP 	New trial (rep=2, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
46.8920 	EXP 	cue: autoDraw = False
46.8920 	EXP 	stimulus: autoDraw = False
46.8920 	EXP 	stimulus: image = u'x.png'
46.8920 	EXP 	cue: autoDraw = True
46.9855 	EXP 	cue: autoDraw = False
48.5169 	EXP 	stimulus: autoDraw = True
48.6421 	EXP 	stimulus: autoDraw = False
48.8614 	DATA 	Keypress: tab
51.1132 	EXP 	New trial (rep=3, index=0): {u'stimFile': u'+.png', u'corrAns': None}
51.1745 	EXP 	cue: autoDraw = False
51.1745 	EXP 	stimulus: autoDraw = False
51.1745 	EXP 	stimulus: image = u'+.png'
51.2987 	EXP 	cue: autoDraw = True
51.4236 	EXP 	cue: autoDraw = False
52.9552 	EXP 	stimulus: autoDraw = True
53.0802 	EXP 	stimulus: autoDraw = False
55.5638 	EXP 	New trial (rep=3, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
55.8133 	EXP 	cue: autoDraw = False
55.8133 	EXP 	stimulus: autoDraw = False
55.8133 	EXP 	stimulus: image = u'x.png'
55.8133 	EXP 	cue: autoDraw = True
55.8756 	EXP 	cue: autoDraw = False
57.4068 	EXP 	stimulus: autoDraw = True
57.5320 	EXP 	stimulus: autoDraw = False
57.7512 	DATA 	Keypress: tab
60.0161 	EXP 	New trial (rep=4, index=0): {u'stimFile': u'+.png', u'corrAns': None}
60.0784 	EXP 	cue: autoDraw = False
60.0784 	EXP 	stimulus: autoDraw = False
60.0784 	EXP 	stimulus: image = u'+.png'
60.2027 	EXP 	cue: autoDraw = True
60.3274 	EXP 	cue: autoDraw = False
61.8591 	EXP 	stimulus: autoDraw = True
61.9845 	EXP 	stimulus: autoDraw = False
64.4475 	EXP 	New trial (rep=4, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
64.7344 	EXP 	cue: autoDraw = False
64.7344 	EXP 	stimulus: autoDraw = False
64.7344 	EXP 	stimulus: image = u'x.png'
64.7344 	EXP 	cue: autoDraw = True
