23.7326 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f96d185db90>, name='window1', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
23.7326 	EXP 	window1: recordFrameIntervals = False
23.9150 	EXP 	window1: recordFrameIntervals = True
24.0985 	EXP 	window1: recordFrameIntervals = False
24.3257 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.085, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
24.3569 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x7f96da39f0d0>: vertices = array([[-1.5,  1.5],
       [ 1.5,  1.5],
       [ 1.5, -1.5],
       [-1.5, -1.5]])
24.3589 	EXP 	Created cue = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([-1., -1., -1.]), fillColorSpace='rgb', fillRGB=array([-1., -1., -1.]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=1, name='cue', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...))
24.3631 	EXP 	Created stimulus = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stimulus', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.25,  0.5 ]), texRes=128, units=u'norm', win=Window(...))
24.3662 	EXP 	text: autoDraw = True
52.1866 	DATA 	Keypress: space
52.2029 	EXP 	Imported condtitions.xlsx as conditions, 2 conditions, 2 params
52.2034 	EXP 	Created sequence: random, trialTypes=2, nReps=30, seed=None
52.2037 	EXP 	New trial (rep=0, index=0): {u'stimFile': u'+.png', u'corrAns': None}
52.2133 	EXP 	text: autoDraw = False
52.2133 	EXP 	stimulus: image = u'+.png'
52.2133 	EXP 	cue: autoDraw = True
52.3694 	EXP 	cue: autoDraw = False
53.8855 	EXP 	stimulus: autoDraw = True
54.0188 	EXP 	stimulus: autoDraw = False
56.5020 	EXP 	New trial (rep=0, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
56.6067 	EXP 	cue: autoDraw = False
56.6067 	EXP 	stimulus: autoDraw = False
56.6067 	EXP 	stimulus: image = u'x.png'
56.6067 	EXP 	cue: autoDraw = True
56.6676 	EXP 	cue: autoDraw = False
58.1836 	EXP 	stimulus: autoDraw = True
58.3169 	EXP 	stimulus: autoDraw = False
58.7336 	DATA 	Keypress: tab
60.8002 	EXP 	New trial (rep=1, index=0): {u'stimFile': u'+.png', u'corrAns': None}
60.8159 	EXP 	cue: autoDraw = False
60.8159 	EXP 	stimulus: autoDraw = False
60.8159 	EXP 	stimulus: image = u'+.png'
60.8159 	EXP 	cue: autoDraw = True
60.9658 	EXP 	cue: autoDraw = False
62.4818 	EXP 	stimulus: autoDraw = True
62.6151 	EXP 	stimulus: autoDraw = False
65.0982 	EXP 	New trial (rep=1, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
65.1799 	EXP 	cue: autoDraw = False
65.1799 	EXP 	stimulus: autoDraw = False
65.1799 	EXP 	stimulus: image = u'x.png'
65.1799 	EXP 	cue: autoDraw = True
65.2640 	EXP 	cue: autoDraw = False
66.7800 	EXP 	stimulus: autoDraw = True
66.9133 	EXP 	stimulus: autoDraw = False
67.0638 	DATA 	Keypress: tab
69.3964 	EXP 	New trial (rep=2, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
69.4738 	EXP 	cue: autoDraw = False
69.4738 	EXP 	stimulus: autoDraw = False
69.4738 	EXP 	stimulus: image = u'x.png'
69.4738 	EXP 	cue: autoDraw = True
69.5621 	EXP 	cue: autoDraw = False
71.0782 	EXP 	stimulus: autoDraw = True
71.2114 	EXP 	stimulus: autoDraw = False
71.3449 	DATA 	Keypress: tab
73.6946 	EXP 	New trial (rep=2, index=1): {u'stimFile': u'+.png', u'corrAns': None}
73.7104 	EXP 	cue: autoDraw = False
73.7104 	EXP 	stimulus: autoDraw = False
73.7104 	EXP 	stimulus: image = u'+.png'
73.7104 	EXP 	cue: autoDraw = True
73.8603 	EXP 	cue: autoDraw = False
75.3763 	EXP 	stimulus: autoDraw = True
75.5096 	EXP 	stimulus: autoDraw = False
75.6929 	DATA 	Keypress: tab
77.9928 	EXP 	New trial (rep=3, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
78.0804 	EXP 	cue: autoDraw = False
78.0804 	EXP 	stimulus: autoDraw = False
78.0804 	EXP 	stimulus: image = u'x.png'
78.0804 	EXP 	cue: autoDraw = True
78.1585 	EXP 	cue: autoDraw = False
79.6745 	EXP 	stimulus: autoDraw = True
79.8077 	EXP 	stimulus: autoDraw = False
79.9582 	DATA 	Keypress: tab
82.2909 	EXP 	New trial (rep=3, index=1): {u'stimFile': u'+.png', u'corrAns': None}
82.3067 	EXP 	cue: autoDraw = False
82.3067 	EXP 	stimulus: autoDraw = False
82.3067 	EXP 	stimulus: image = u'+.png'
82.3067 	EXP 	cue: autoDraw = True
82.4566 	EXP 	cue: autoDraw = False
83.9727 	EXP 	stimulus: autoDraw = True
84.1226 	EXP 	stimulus: autoDraw = False
86.5890 	EXP 	New trial (rep=4, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
86.6700 	EXP 	cue: autoDraw = False
86.6700 	EXP 	stimulus: autoDraw = False
86.6700 	EXP 	stimulus: image = u'x.png'
86.6700 	EXP 	cue: autoDraw = True
86.7548 	EXP 	cue: autoDraw = False
88.2708 	EXP 	stimulus: autoDraw = True
88.4041 	EXP 	stimulus: autoDraw = False
88.5379 	DATA 	Keypress: tab
90.8874 	EXP 	New trial (rep=4, index=1): {u'stimFile': u'+.png', u'corrAns': None}
90.9030 	EXP 	cue: autoDraw = False
90.9030 	EXP 	stimulus: autoDraw = False
90.9030 	EXP 	stimulus: image = u'+.png'
90.9030 	EXP 	cue: autoDraw = True
91.0696 	EXP 	cue: autoDraw = False
92.5690 	EXP 	stimulus: autoDraw = True
92.7023 	EXP 	stimulus: autoDraw = False
95.1854 	EXP 	New trial (rep=5, index=0): {u'stimFile': u'+.png', u'corrAns': None}
95.2012 	EXP 	cue: autoDraw = False
95.2012 	EXP 	stimulus: autoDraw = False
95.2012 	EXP 	stimulus: image = u'+.png'
95.2012 	EXP 	cue: autoDraw = True
95.3511 	EXP 	cue: autoDraw = False
96.8671 	EXP 	stimulus: autoDraw = True
97.0004 	EXP 	stimulus: autoDraw = False
97.1505 	DATA 	Keypress: tab
99.4838 	EXP 	New trial (rep=5, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
99.5662 	EXP 	cue: autoDraw = False
99.5662 	EXP 	stimulus: autoDraw = False
99.5662 	EXP 	stimulus: image = u'x.png'
99.5662 	EXP 	cue: autoDraw = True
99.6493 	EXP 	cue: autoDraw = False
101.1820 	EXP 	stimulus: autoDraw = True
101.2986 	EXP 	stimulus: autoDraw = False
101.4654 	DATA 	Keypress: tab
103.7819 	EXP 	New trial (rep=6, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
103.8576 	EXP 	cue: autoDraw = False
103.8576 	EXP 	stimulus: autoDraw = False
103.8576 	EXP 	stimulus: image = u'x.png'
103.8576 	EXP 	cue: autoDraw = True
103.9474 	EXP 	cue: autoDraw = False
105.4635 	EXP 	stimulus: autoDraw = True
105.5967 	EXP 	stimulus: autoDraw = False
105.8968 	DATA 	Keypress: tab
108.0800 	EXP 	New trial (rep=6, index=1): {u'stimFile': u'+.png', u'corrAns': None}
108.0957 	EXP 	cue: autoDraw = False
108.0957 	EXP 	stimulus: autoDraw = False
108.0957 	EXP 	stimulus: image = u'+.png'
108.0957 	EXP 	cue: autoDraw = True
108.2456 	EXP 	cue: autoDraw = False
109.7616 	EXP 	stimulus: autoDraw = True
109.8949 	EXP 	stimulus: autoDraw = False
112.3780 	EXP 	New trial (rep=7, index=0): {u'stimFile': u'+.png', u'corrAns': None}
112.3938 	EXP 	cue: autoDraw = False
112.3938 	EXP 	stimulus: autoDraw = False
112.3938 	EXP 	stimulus: image = u'+.png'
112.3938 	EXP 	cue: autoDraw = True
112.5438 	EXP 	cue: autoDraw = False
114.0598 	EXP 	stimulus: autoDraw = True
114.1930 	EXP 	stimulus: autoDraw = False
116.6762 	EXP 	New trial (rep=7, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
116.7623 	EXP 	cue: autoDraw = False
116.7623 	EXP 	stimulus: autoDraw = False
116.7623 	EXP 	stimulus: image = u'x.png'
116.7623 	EXP 	cue: autoDraw = True
116.8419 	EXP 	cue: autoDraw = False
118.3580 	EXP 	stimulus: autoDraw = True
118.4913 	EXP 	stimulus: autoDraw = False
118.6580 	DATA 	Keypress: tab
120.9745 	EXP 	New trial (rep=8, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
121.0488 	EXP 	cue: autoDraw = False
121.0488 	EXP 	stimulus: autoDraw = False
121.0488 	EXP 	stimulus: image = u'x.png'
121.0488 	EXP 	cue: autoDraw = True
121.1399 	EXP 	cue: autoDraw = False
122.6561 	EXP 	stimulus: autoDraw = True
122.7894 	EXP 	stimulus: autoDraw = False
123.0561 	DATA 	Keypress: tab
125.2726 	EXP 	New trial (rep=8, index=1): {u'stimFile': u'+.png', u'corrAns': None}
125.2884 	EXP 	cue: autoDraw = False
125.2884 	EXP 	stimulus: autoDraw = False
125.2884 	EXP 	stimulus: image = u'+.png'
125.2884 	EXP 	cue: autoDraw = True
125.4383 	EXP 	cue: autoDraw = False
126.9543 	EXP 	stimulus: autoDraw = True
127.0875 	EXP 	stimulus: autoDraw = False
129.5707 	EXP 	New trial (rep=9, index=0): {u'stimFile': u'+.png', u'corrAns': None}
129.5865 	EXP 	cue: autoDraw = False
129.5865 	EXP 	stimulus: autoDraw = False
129.5865 	EXP 	stimulus: image = u'+.png'
129.5865 	EXP 	cue: autoDraw = True
129.7365 	EXP 	cue: autoDraw = False
131.2525 	EXP 	stimulus: autoDraw = True
131.3857 	EXP 	stimulus: autoDraw = False
131.5523 	DATA 	Keypress: tab
133.8690 	EXP 	New trial (rep=9, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
133.9558 	EXP 	cue: autoDraw = False
133.9558 	EXP 	stimulus: autoDraw = False
133.9558 	EXP 	stimulus: image = u'x.png'
133.9558 	EXP 	cue: autoDraw = True
134.0346 	EXP 	cue: autoDraw = False
135.5506 	EXP 	stimulus: autoDraw = True
135.6839 	EXP 	stimulus: autoDraw = False
135.8673 	DATA 	Keypress: tab
138.1671 	EXP 	New trial (rep=10, index=0): {u'stimFile': u'+.png', u'corrAns': None}
138.1828 	EXP 	cue: autoDraw = False
138.1828 	EXP 	stimulus: autoDraw = False
138.1828 	EXP 	stimulus: image = u'+.png'
138.1828 	EXP 	cue: autoDraw = True
138.3327 	EXP 	cue: autoDraw = False
139.8488 	EXP 	stimulus: autoDraw = True
139.9820 	EXP 	stimulus: autoDraw = False
142.4652 	EXP 	New trial (rep=10, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
142.5485 	EXP 	cue: autoDraw = False
142.5485 	EXP 	stimulus: autoDraw = False
142.5485 	EXP 	stimulus: image = u'x.png'
142.5485 	EXP 	cue: autoDraw = True
142.6310 	EXP 	cue: autoDraw = False
144.1469 	EXP 	stimulus: autoDraw = True
144.2802 	EXP 	stimulus: autoDraw = False
144.4969 	DATA 	Keypress: tab
146.7635 	EXP 	New trial (rep=11, index=0): {u'stimFile': u'+.png', u'corrAns': None}
146.7792 	EXP 	cue: autoDraw = False
146.7792 	EXP 	stimulus: autoDraw = False
146.7792 	EXP 	stimulus: image = u'+.png'
146.7792 	EXP 	cue: autoDraw = True
146.9291 	EXP 	cue: autoDraw = False
148.4450 	EXP 	stimulus: autoDraw = True
148.5950 	EXP 	stimulus: autoDraw = False
151.0615 	EXP 	New trial (rep=11, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
151.1468 	EXP 	cue: autoDraw = False
151.1468 	EXP 	stimulus: autoDraw = False
151.1468 	EXP 	stimulus: image = u'x.png'
151.1468 	EXP 	cue: autoDraw = True
151.2273 	EXP 	cue: autoDraw = False
152.7432 	EXP 	stimulus: autoDraw = True
