13.7695 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fc5eaee0b90>, name='window1', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.7695 	EXP 	window1: recordFrameIntervals = False
13.9353 	EXP 	window1: recordFrameIntervals = True
14.0519 	WARNING 	t of last frame was 33.29ms (=1/30)
14.2187 	EXP 	window1: recordFrameIntervals = False
14.2968 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.085, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
14.2978 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x7fc5f3a220d0>: vertices = array([[-1.5,  1.5],
       [ 1.5,  1.5],
       [ 1.5, -1.5],
       [-1.5, -1.5]])
14.2997 	EXP 	Created cue = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([-1., -1., -1.]), fillColorSpace='rgb', fillRGB=array([-1., -1., -1.]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=1, name='cue', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...))
14.3037 	EXP 	Created stimulus = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stimulus', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.25,  0.5 ]), texRes=128, units=u'norm', win=Window(...))
14.3065 	EXP 	text: autoDraw = True
19.1667 	DATA 	Keypress: space
19.1728 	EXP 	Imported condtitions.xlsx as conditions, 2 conditions, 2 params
19.1734 	EXP 	Created sequence: random, trialTypes=2, nReps=30, seed=None
19.1738 	EXP 	New trial (rep=0, index=0): {u'stimFile': u'+.png', u'corrAns': None}
19.1846 	EXP 	text: autoDraw = False
19.1846 	EXP 	stimulus: image = u'+.png'
19.1846 	EXP 	cue: autoDraw = True
19.3330 	EXP 	cue: autoDraw = False
20.8490 	EXP 	stimulus: autoDraw = True
20.9989 	EXP 	stimulus: autoDraw = False
23.4656 	EXP 	New trial (rep=0, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
23.5584 	EXP 	cue: autoDraw = False
23.5584 	EXP 	stimulus: autoDraw = False
23.5584 	EXP 	stimulus: image = u'x.png'
23.5584 	EXP 	cue: autoDraw = True
23.6478 	EXP 	cue: autoDraw = False
25.1472 	EXP 	stimulus: autoDraw = True
25.2804 	EXP 	stimulus: autoDraw = False
25.4139 	DATA 	Keypress: tab
27.7636 	EXP 	New trial (rep=1, index=0): {u'stimFile': u'+.png', u'corrAns': None}
27.7792 	EXP 	cue: autoDraw = False
27.7792 	EXP 	stimulus: autoDraw = False
27.7792 	EXP 	stimulus: image = u'+.png'
27.7792 	EXP 	cue: autoDraw = True
27.9294 	EXP 	cue: autoDraw = False
29.4454 	EXP 	stimulus: autoDraw = True
29.5786 	EXP 	stimulus: autoDraw = False
32.0617 	EXP 	New trial (rep=1, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
32.1473 	EXP 	cue: autoDraw = False
32.1473 	EXP 	stimulus: autoDraw = False
32.1473 	EXP 	stimulus: image = u'x.png'
32.1473 	EXP 	cue: autoDraw = True
32.2275 	EXP 	cue: autoDraw = False
33.7435 	EXP 	stimulus: autoDraw = True
33.8768 	EXP 	stimulus: autoDraw = False
34.0269 	DATA 	Keypress: tab
36.3601 	EXP 	New trial (rep=2, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
36.4421 	EXP 	cue: autoDraw = False
36.4421 	EXP 	stimulus: autoDraw = False
36.4421 	EXP 	stimulus: image = u'x.png'
36.4421 	EXP 	cue: autoDraw = True
36.5256 	EXP 	cue: autoDraw = False
38.0416 	EXP 	stimulus: autoDraw = True
38.1749 	EXP 	stimulus: autoDraw = False
38.3582 	DATA 	Keypress: tab
40.6582 	EXP 	New trial (rep=2, index=1): {u'stimFile': u'+.png', u'corrAns': None}
40.6905 	EXP 	cue: autoDraw = False
40.6905 	EXP 	stimulus: autoDraw = False
40.6905 	EXP 	stimulus: image = u'+.png'
40.6905 	EXP 	cue: autoDraw = True
40.8238 	EXP 	cue: autoDraw = False
42.3398 	EXP 	stimulus: autoDraw = True
42.4731 	EXP 	stimulus: autoDraw = False
42.6732 	DATA 	Keypress: tab
44.9564 	EXP 	New trial (rep=3, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
45.0370 	EXP 	cue: autoDraw = False
45.0370 	EXP 	stimulus: autoDraw = False
45.0370 	EXP 	stimulus: image = u'x.png'
45.0370 	EXP 	cue: autoDraw = True
45.1220 	EXP 	cue: autoDraw = False
46.6380 	EXP 	stimulus: autoDraw = True
46.7713 	EXP 	stimulus: autoDraw = False
46.9713 	DATA 	Keypress: tab
49.2546 	EXP 	New trial (rep=3, index=1): {u'stimFile': u'+.png', u'corrAns': None}
49.2702 	EXP 	cue: autoDraw = False
49.2702 	EXP 	stimulus: autoDraw = False
49.2702 	EXP 	stimulus: image = u'+.png'
49.2702 	EXP 	cue: autoDraw = True
49.4201 	EXP 	cue: autoDraw = False
50.9361 	EXP 	stimulus: autoDraw = True
51.0710 	EXP 	stimulus: autoDraw = False
53.5526 	EXP 	New trial (rep=4, index=0): {u'stimFile': u'+.png', u'corrAns': None}
53.5684 	EXP 	cue: autoDraw = False
53.5684 	EXP 	stimulus: autoDraw = False
53.5684 	EXP 	stimulus: image = u'+.png'
53.5684 	EXP 	cue: autoDraw = True
53.7183 	EXP 	cue: autoDraw = False
55.2343 	EXP 	stimulus: autoDraw = True
55.3676 	EXP 	stimulus: autoDraw = False
57.8507 	EXP 	New trial (rep=4, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
57.9317 	EXP 	cue: autoDraw = False
57.9317 	EXP 	stimulus: autoDraw = False
57.9317 	EXP 	stimulus: image = u'x.png'
57.9317 	EXP 	cue: autoDraw = True
58.0165 	EXP 	cue: autoDraw = False
59.5325 	EXP 	stimulus: autoDraw = True
59.6658 	EXP 	stimulus: autoDraw = False
59.8492 	DATA 	Keypress: tab
62.1490 	EXP 	New trial (rep=5, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
62.2312 	EXP 	cue: autoDraw = False
62.2312 	EXP 	stimulus: autoDraw = False
62.2312 	EXP 	stimulus: image = u'x.png'
62.2312 	EXP 	cue: autoDraw = True
62.3146 	EXP 	cue: autoDraw = False
63.8306 	EXP 	stimulus: autoDraw = True
63.9639 	EXP 	stimulus: autoDraw = False
64.1807 	DATA 	Keypress: tab
66.4473 	EXP 	New trial (rep=5, index=1): {u'stimFile': u'+.png', u'corrAns': None}
66.4628 	EXP 	cue: autoDraw = False
66.4628 	EXP 	stimulus: autoDraw = False
66.4628 	EXP 	stimulus: image = u'+.png'
66.4628 	EXP 	cue: autoDraw = True
66.6128 	EXP 	cue: autoDraw = False
68.1288 	EXP 	stimulus: autoDraw = True
68.2621 	EXP 	stimulus: autoDraw = False
70.7452 	EXP 	New trial (rep=6, index=0): {u'stimFile': u'+.png', u'corrAns': None}
70.7610 	EXP 	cue: autoDraw = False
70.7610 	EXP 	stimulus: autoDraw = False
70.7610 	EXP 	stimulus: image = u'+.png'
70.7610 	EXP 	cue: autoDraw = True
70.9109 	EXP 	cue: autoDraw = False
72.4270 	EXP 	stimulus: autoDraw = True
72.5602 	EXP 	stimulus: autoDraw = False
72.7104 	DATA 	Keypress: tab
75.0436 	EXP 	New trial (rep=6, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
75.1286 	EXP 	cue: autoDraw = False
75.1286 	EXP 	stimulus: autoDraw = False
75.1286 	EXP 	stimulus: image = u'x.png'
75.1286 	EXP 	cue: autoDraw = True
75.2091 	EXP 	cue: autoDraw = False
76.7251 	EXP 	stimulus: autoDraw = True
76.8584 	EXP 	stimulus: autoDraw = False
77.0589 	DATA 	Keypress: tab
79.3417 	EXP 	New trial (rep=7, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
79.4168 	EXP 	cue: autoDraw = False
79.4168 	EXP 	stimulus: autoDraw = False
79.4168 	EXP 	stimulus: image = u'x.png'
