9.7476 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fab4198ab90>, name='window1', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.7476 	EXP 	window1: recordFrameIntervals = False
9.9300 	EXP 	window1: recordFrameIntervals = True
10.1134 	EXP 	window1: recordFrameIntervals = False
10.1906 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.085, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
10.1916 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x7fab4a4cc0d0>: vertices = array([[-1.5,  1.5],
       [ 1.5,  1.5],
       [ 1.5, -1.5],
       [-1.5, -1.5]])
10.1935 	EXP 	Created cue = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([-1., -1., -1.]), fillColorSpace='rgb', fillRGB=array([-1., -1., -1.]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=1, name='cue', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...))
10.1974 	EXP 	Created stimulus = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stimulus', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.25,  0.5 ]), texRes=128, units=u'norm', win=Window(...))
10.2002 	EXP 	text: autoDraw = True
16.4274 	DATA 	Keypress: tab
16.4336 	EXP 	Imported condtitions.xlsx as conditions, 2 conditions, 2 params
16.4341 	EXP 	Created sequence: random, trialTypes=2, nReps=30, seed=None
16.4345 	EXP 	New trial (rep=0, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
16.5266 	EXP 	text: autoDraw = False
16.5266 	EXP 	stimulus: image = u'x.png'
16.5266 	EXP 	cue: autoDraw = True
16.5937 	EXP 	cue: autoDraw = False
18.1097 	EXP 	stimulus: autoDraw = True
18.2431 	EXP 	stimulus: autoDraw = False
18.4764 	DATA 	Keypress: tab
20.7266 	EXP 	New trial (rep=0, index=1): {u'stimFile': u'+.png', u'corrAns': None}
20.7419 	EXP 	cue: autoDraw = False
20.7419 	EXP 	stimulus: autoDraw = False
20.7419 	EXP 	stimulus: image = u'+.png'
20.7419 	EXP 	cue: autoDraw = True
20.8919 	EXP 	cue: autoDraw = False
22.4079 	EXP 	stimulus: autoDraw = True
22.5412 	EXP 	stimulus: autoDraw = False
25.0244 	EXP 	New trial (rep=1, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
25.1073 	EXP 	cue: autoDraw = False
25.1073 	EXP 	stimulus: autoDraw = False
25.1073 	EXP 	stimulus: image = u'x.png'
25.1073 	EXP 	cue: autoDraw = True
25.1901 	EXP 	cue: autoDraw = False
26.7061 	EXP 	stimulus: autoDraw = True
26.8394 	EXP 	stimulus: autoDraw = False
27.0228 	DATA 	Keypress: tab
29.3227 	EXP 	New trial (rep=1, index=1): {u'stimFile': u'+.png', u'corrAns': None}
29.3383 	EXP 	cue: autoDraw = False
29.3383 	EXP 	stimulus: autoDraw = False
29.3383 	EXP 	stimulus: image = u'+.png'
29.3383 	EXP 	cue: autoDraw = True
29.4883 	EXP 	cue: autoDraw = False
31.0042 	EXP 	stimulus: autoDraw = True
31.1542 	EXP 	stimulus: autoDraw = False
33.6207 	EXP 	New trial (rep=2, index=0): {u'stimFile': u'+.png', u'corrAns': None}
33.6365 	EXP 	cue: autoDraw = False
33.6365 	EXP 	stimulus: autoDraw = False
33.6365 	EXP 	stimulus: image = u'+.png'
33.6365 	EXP 	cue: autoDraw = True
33.7864 	EXP 	cue: autoDraw = False
35.3024 	EXP 	stimulus: autoDraw = True
35.4357 	EXP 	stimulus: autoDraw = False
