stimFile,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_respons.keys,key_respons.corr,key_respons.rt,session,noise,participant,frameRate,expName,date,
+.png,None,0,0,0,0,None,1,,4,y,BJJ_21,60.0312300071,go_no-go,2017_maj_27_1140,
x.png,tab,0,1,1,1,tab,1,0.216856002808,4,y,BJJ_21,60.0312300071,go_no-go,2017_maj_27_1140,
+.png,None,1,0,2,0,tab,0,0.183479070663,4,y,BJJ_21,60.0312300071,go_no-go,2017_maj_27_1140,
x.png,tab,1,1,3,1,tab,1,0.100198984146,4,y,BJJ_21,60.0312300071,go_no-go,2017_maj_27_1140,
x.png,tab,2,0,4,1,tab,1,0.366725921631,4,y,BJJ_21,60.0312300071,go_no-go,2017_maj_27_1140,
+.png,None,2,1,5,0,tab,0,0.150558948517,4,y,BJJ_21,60.0312300071,go_no-go,2017_maj_27_1140,
+.png,None,3,0,6,0,None,1,,4,y,BJJ_21,60.0312300071,go_no-go,2017_maj_27_1140,
x.png,tab,3,1,7,1,tab,1,0.133493900299,4,y,BJJ_21,60.0312300071,go_no-go,2017_maj_27_1140,
x.png,tab,4,0,8,1,tab,1,0.166812896729,4,y,BJJ_21,60.0312300071,go_no-go,2017_maj_27_1140,
+.png,None,4,1,9,0,None,1,,4,y,BJJ_21,60.0312300071,go_no-go,2017_maj_27_1140,
+.png,None,5,0,10,0,None,1,,4,y,BJJ_21,60.0312300071,go_no-go,2017_maj_27_1140,
x.png,tab,5,1,11,1,tab,1,0.150146961212,4,y,BJJ_21,60.0312300071,go_no-go,2017_maj_27_1140,
x.png,tab,6,0,12,1,tab,1,0.266691923141,4,y,BJJ_21,60.0312300071,go_no-go,2017_maj_27_1140,
+.png,None,6,1,13,0,None,1,,4,y,BJJ_21,60.0312300071,go_no-go,2017_maj_27_1140,
x.png,tab,7,0,14,1,tab,1,0.216789960861,4,y,BJJ_21,60.0312300071,go_no-go,2017_maj_27_1140,
+.png,None,7,1,15,0,None,1,,4,y,BJJ_21,60.0312300071,go_no-go,2017_maj_27_1140,
x.png,tab,8,0,16,1,tab,1,0.150032997131,4,y,BJJ_21,60.0312300071,go_no-go,2017_maj_27_1140,
+.png,None,8,1,17,0,None,1,,4,y,BJJ_21,60.0312300071,go_no-go,2017_maj_27_1140,
x.png,tab,9,0,18,1,tab,1,0.166856050491,4,y,BJJ_21,60.0312300071,go_no-go,2017_maj_27_1140,
+.png,None,9,1,19,0,None,1,,4,y,BJJ_21,60.0312300071,go_no-go,2017_maj_27_1140,
+.png,None,10,0,20,0,None,1,,4,y,BJJ_21,60.0312300071,go_no-go,2017_maj_27_1140,
x.png,tab,10,1,21,1,tab,1,0.2501039505,4,y,BJJ_21,60.0312300071,go_no-go,2017_maj_27_1140,
+.png,None,11,0,22,0,None,1,,4,y,BJJ_21,60.0312300071,go_no-go,2017_maj_27_1140,
x.png,tab,11,1,23,1,tab,1,0.216794967651,4,y,BJJ_21,60.0312300071,go_no-go,2017_maj_27_1140,
x.png,tab,12,0,24,1,tab,1,0.216855049133,4,y,BJJ_21,60.0312300071,go_no-go,2017_maj_27_1140,
+.png,None,12,1,25,0,None,1,,4,y,BJJ_21,60.0312300071,go_no-go,2017_maj_27_1140,
x.png,tab,13,0,26,1,tab,1,0.21673989296,4,y,BJJ_21,60.0312300071,go_no-go,2017_maj_27_1140,
+.png,None,13,1,27,0,None,1,,4,y,BJJ_21,60.0312300071,go_no-go,2017_maj_27_1140,
x.png,tab,14,0,28,1,tab,1,0.233468055725,4,y,BJJ_21,60.0312300071,go_no-go,2017_maj_27_1140,
