221.1665 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f6a8529db90>, name='window1', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
221.1666 	EXP 	window1: recordFrameIntervals = False
221.3489 	EXP 	window1: recordFrameIntervals = True
221.5323 	EXP 	window1: recordFrameIntervals = False
221.6109 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.085, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
221.6119 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x7f6a8ddbd0d0>: vertices = array([[-1.5,  1.5],
       [ 1.5,  1.5],
       [ 1.5, -1.5],
       [-1.5, -1.5]])
221.6138 	EXP 	Created cue = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([-1., -1., -1.]), fillColorSpace='rgb', fillRGB=array([-1., -1., -1.]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=1, name='cue', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...))
221.6176 	EXP 	Created stimulus = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stimulus', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.25,  0.5 ]), texRes=128, units=u'norm', win=Window(...))
221.6205 	EXP 	text: autoDraw = True
239.4748 	DATA 	Keypress: space
239.4810 	EXP 	Imported condtitions.xlsx as conditions, 2 conditions, 2 params
239.4816 	EXP 	Created sequence: random, trialTypes=2, nReps=30, seed=None
239.4820 	EXP 	New trial (rep=0, index=0): {u'stimFile': u'+.png', u'corrAns': None}
239.4928 	EXP 	text: autoDraw = False
239.4928 	EXP 	stimulus: image = u'+.png'
239.4928 	EXP 	cue: autoDraw = True
239.6411 	EXP 	cue: autoDraw = False
241.1571 	EXP 	stimulus: autoDraw = True
241.2903 	EXP 	stimulus: autoDraw = False
243.7736 	EXP 	New trial (rep=0, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
243.8666 	EXP 	cue: autoDraw = False
243.8666 	EXP 	stimulus: autoDraw = False
243.8666 	EXP 	stimulus: image = u'x.png'
243.8666 	EXP 	cue: autoDraw = True
243.9392 	EXP 	cue: autoDraw = False
245.4552 	EXP 	stimulus: autoDraw = True
245.5885 	EXP 	stimulus: autoDraw = False
245.8220 	DATA 	Keypress: tab
248.0718 	EXP 	New trial (rep=1, index=0): {u'stimFile': u'+.png', u'corrAns': None}
248.0875 	EXP 	cue: autoDraw = False
248.0875 	EXP 	stimulus: autoDraw = False
248.0875 	EXP 	stimulus: image = u'+.png'
248.0875 	EXP 	cue: autoDraw = True
248.2374 	EXP 	cue: autoDraw = False
249.7534 	EXP 	stimulus: autoDraw = True
249.8867 	EXP 	stimulus: autoDraw = False
250.0868 	DATA 	Keypress: tab
252.3699 	EXP 	New trial (rep=1, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
252.4580 	EXP 	cue: autoDraw = False
252.4580 	EXP 	stimulus: autoDraw = False
252.4580 	EXP 	stimulus: image = u'x.png'
252.4580 	EXP 	cue: autoDraw = True
252.5355 	EXP 	cue: autoDraw = False
254.0515 	EXP 	stimulus: autoDraw = True
254.1848 	EXP 	stimulus: autoDraw = False
254.3017 	DATA 	Keypress: tab
256.6681 	EXP 	New trial (rep=2, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
256.7503 	EXP 	cue: autoDraw = False
256.7503 	EXP 	stimulus: autoDraw = False
256.7503 	EXP 	stimulus: image = u'x.png'
256.7503 	EXP 	cue: autoDraw = True
256.8338 	EXP 	cue: autoDraw = False
258.3497 	EXP 	stimulus: autoDraw = True
258.4830 	EXP 	stimulus: autoDraw = False
258.8663 	DATA 	Keypress: tab
260.9663 	EXP 	New trial (rep=2, index=1): {u'stimFile': u'+.png', u'corrAns': None}
260.9819 	EXP 	cue: autoDraw = False
260.9819 	EXP 	stimulus: autoDraw = False
260.9819 	EXP 	stimulus: image = u'+.png'
260.9819 	EXP 	cue: autoDraw = True
261.1319 	EXP 	cue: autoDraw = False
262.6479 	EXP 	stimulus: autoDraw = True
262.7811 	EXP 	stimulus: autoDraw = False
262.9483 	DATA 	Keypress: tab
265.2644 	EXP 	New trial (rep=3, index=0): {u'stimFile': u'+.png', u'corrAns': None}
265.2801 	EXP 	cue: autoDraw = False
265.2801 	EXP 	stimulus: autoDraw = False
265.2801 	EXP 	stimulus: image = u'+.png'
265.2801 	EXP 	cue: autoDraw = True
265.4300 	EXP 	cue: autoDraw = False
266.9461 	EXP 	stimulus: autoDraw = True
267.0793 	EXP 	stimulus: autoDraw = False
269.5624 	EXP 	New trial (rep=3, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
269.6477 	EXP 	cue: autoDraw = False
269.6477 	EXP 	stimulus: autoDraw = False
269.6477 	EXP 	stimulus: image = u'x.png'
269.6477 	EXP 	cue: autoDraw = True
269.7282 	EXP 	cue: autoDraw = False
271.2442 	EXP 	stimulus: autoDraw = True
271.3775 	EXP 	stimulus: autoDraw = False
271.5276 	DATA 	Keypress: tab
273.8607 	EXP 	New trial (rep=4, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
273.9405 	EXP 	cue: autoDraw = False
273.9405 	EXP 	stimulus: autoDraw = False
273.9405 	EXP 	stimulus: image = u'x.png'
273.9405 	EXP 	cue: autoDraw = True
274.0264 	EXP 	cue: autoDraw = False
275.5424 	EXP 	stimulus: autoDraw = True
275.6757 	EXP 	stimulus: autoDraw = False
275.8757 	DATA 	Keypress: tab
