12.2159 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fac00280b90>, name='window1', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
12.2160 	EXP 	window1: recordFrameIntervals = False
12.3983 	EXP 	window1: recordFrameIntervals = True
12.5817 	EXP 	window1: recordFrameIntervals = False
12.6602 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.085, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
12.6612 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x7fac08dc20d0>: vertices = array([[-1.5,  1.5],
       [ 1.5,  1.5],
       [ 1.5, -1.5],
       [-1.5, -1.5]])
12.6631 	EXP 	Created cue = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([-1., -1., -1.]), fillColorSpace='rgb', fillRGB=array([-1., -1., -1.]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=1, name='cue', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...))
12.6669 	EXP 	Created stimulus = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stimulus', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.25,  0.5 ]), texRes=128, units=u'norm', win=Window(...))
12.6699 	EXP 	text: autoDraw = True
27.9085 	DATA 	Keypress: space
27.9148 	EXP 	Imported condtitions.xlsx as conditions, 2 conditions, 2 params
27.9154 	EXP 	Created sequence: random, trialTypes=2, nReps=30, seed=None
27.9158 	EXP 	New trial (rep=0, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
28.0029 	EXP 	text: autoDraw = False
28.0029 	EXP 	stimulus: image = u'x.png'
28.0029 	EXP 	cue: autoDraw = True
28.0749 	EXP 	cue: autoDraw = False
29.5909 	EXP 	stimulus: autoDraw = True
29.7242 	EXP 	stimulus: autoDraw = False
30.0909 	DATA 	Keypress: tab
32.2077 	EXP 	New trial (rep=0, index=1): {u'stimFile': u'+.png', u'corrAns': None}
32.2231 	EXP 	cue: autoDraw = False
32.2231 	EXP 	stimulus: autoDraw = False
32.2231 	EXP 	stimulus: image = u'+.png'
32.2231 	EXP 	cue: autoDraw = True
32.3730 	EXP 	cue: autoDraw = False
33.8891 	EXP 	stimulus: autoDraw = True
34.0223 	EXP 	stimulus: autoDraw = False
36.5055 	EXP 	New trial (rep=1, index=0): {u'stimFile': u'+.png', u'corrAns': None}
36.5213 	EXP 	cue: autoDraw = False
36.5213 	EXP 	stimulus: autoDraw = False
36.5213 	EXP 	stimulus: image = u'+.png'
36.5213 	EXP 	cue: autoDraw = True
36.6712 	EXP 	cue: autoDraw = False
38.1872 	EXP 	stimulus: autoDraw = True
38.3205 	EXP 	stimulus: autoDraw = False
40.8037 	EXP 	New trial (rep=1, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
40.8847 	EXP 	cue: autoDraw = False
40.8847 	EXP 	stimulus: autoDraw = False
40.8847 	EXP 	stimulus: image = u'x.png'
40.8847 	EXP 	cue: autoDraw = True
40.9694 	EXP 	cue: autoDraw = False
42.4854 	EXP 	stimulus: autoDraw = True
42.6187 	EXP 	stimulus: autoDraw = False
42.9687 	DATA 	Keypress: tab
45.1019 	EXP 	New trial (rep=2, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
45.1780 	EXP 	cue: autoDraw = False
45.1780 	EXP 	stimulus: autoDraw = False
45.1780 	EXP 	stimulus: image = u'x.png'
45.1780 	EXP 	cue: autoDraw = True
45.2675 	EXP 	cue: autoDraw = False
46.7835 	EXP 	stimulus: autoDraw = True
46.9335 	EXP 	stimulus: autoDraw = False
47.1836 	DATA 	Keypress: tab
49.4001 	EXP 	New trial (rep=2, index=1): {u'stimFile': u'+.png', u'corrAns': None}
49.4158 	EXP 	cue: autoDraw = False
49.4158 	EXP 	stimulus: autoDraw = False
49.4158 	EXP 	stimulus: image = u'+.png'
49.4158 	EXP 	cue: autoDraw = True
49.5657 	EXP 	cue: autoDraw = False
