20.5014 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x156EEF50>, name='window1', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
20.5014 	EXP 	window1: recordFrameIntervals = False
20.8130 	EXP 	window1: recordFrameIntervals = True
21.1568 	EXP 	window1: recordFrameIntervals = False
21.4651 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.085, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
21.5742 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x07A48410>: vertices = array([[-1.5,  1.5],
       [ 1.5,  1.5],
       [ 1.5, -1.5],
       [-1.5, -1.5]])
21.5772 	EXP 	Created cue = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([-1., -1., -1.]), fillColorSpace='rgb', fillRGB=array([-1., -1., -1.]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=1, name='cue', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...))
21.5807 	EXP 	Created stimulus = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stimulus', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.25,  0.5 ]), texRes=128, units=u'norm', win=Window(...))
21.5906 	EXP 	text: autoDraw = True
39.7512 	DATA 	Keypress: space
39.7888 	EXP 	Imported condtitions.xlsx as conditions, 2 conditions, 2 params
39.7895 	EXP 	Created sequence: random, trialTypes=2, nReps=30, seed=None
39.7899 	EXP 	New trial (rep=0, index=0): {u'stimFile': u'x.png', u'corrAns': u'space'}
40.0009 	EXP 	text: autoDraw = False
40.0009 	EXP 	stimulus: image = u'x.png'
40.0009 	EXP 	cue: autoDraw = True
40.1254 	EXP 	cue: autoDraw = False
41.6187 	EXP 	stimulus: autoDraw = True
41.7368 	EXP 	stimulus: autoDraw = False
42.1431 	DATA 	Keypress: space
44.2069 	EXP 	New trial (rep=0, index=1): {u'stimFile': u'+.png', u'corrAns': None}
44.3337 	EXP 	cue: autoDraw = False
44.3337 	EXP 	stimulus: autoDraw = False
44.3337 	EXP 	stimulus: image = u'+.png'
44.3926 	EXP 	cue: autoDraw = True
44.5176 	EXP 	cue: autoDraw = False
44.9245 	DATA 	Keypress: space
46.0492 	EXP 	stimulus: autoDraw = True
46.1742 	EXP 	stimulus: autoDraw = False
48.6406 	EXP 	New trial (rep=1, index=0): {u'stimFile': u'x.png', u'corrAns': u'space'}
48.8748 	EXP 	cue: autoDraw = False
48.8748 	EXP 	stimulus: autoDraw = False
48.8748 	EXP 	stimulus: image = u'x.png'
48.8748 	EXP 	cue: autoDraw = True
48.9678 	EXP 	cue: autoDraw = False
50.4992 	EXP 	stimulus: autoDraw = True
50.6242 	EXP 	stimulus: autoDraw = False
50.8118 	DATA 	Keypress: space
53.0960 	EXP 	New trial (rep=1, index=1): {u'stimFile': u'+.png', u'corrAns': None}
53.1576 	EXP 	cue: autoDraw = False
53.1576 	EXP 	stimulus: autoDraw = False
53.1576 	EXP 	stimulus: image = u'+.png'
53.2817 	EXP 	cue: autoDraw = True
53.4070 	EXP 	cue: autoDraw = False
54.9419 	EXP 	stimulus: autoDraw = True
55.0668 	EXP 	stimulus: autoDraw = False
57.5294 	EXP 	New trial (rep=2, index=0): {u'stimFile': u'+.png', u'corrAns': None}
57.5751 	EXP 	cue: autoDraw = False
57.5751 	EXP 	stimulus: autoDraw = False
57.5751 	EXP 	stimulus: image = u'+.png'
57.7313 	EXP 	cue: autoDraw = True
57.8563 	EXP 	cue: autoDraw = False
59.3879 	EXP 	stimulus: autoDraw = True
59.5128 	EXP 	stimulus: autoDraw = False
61.9862 	EXP 	New trial (rep=2, index=1): {u'stimFile': u'x.png', u'corrAns': u'space'}
62.2819 	EXP 	cue: autoDraw = False
62.2819 	EXP 	stimulus: autoDraw = False
62.2819 	EXP 	stimulus: image = u'x.png'
62.2819 	EXP 	cue: autoDraw = True
62.3129 	EXP 	cue: autoDraw = False
63.8448 	EXP 	stimulus: autoDraw = True
63.9695 	EXP 	stimulus: autoDraw = False
64.1574 	DATA 	Keypress: space
66.4397 	EXP 	New trial (rep=3, index=0): {u'stimFile': u'+.png', u'corrAns': None}
66.5022 	EXP 	cue: autoDraw = False
66.5022 	EXP 	stimulus: autoDraw = False
66.5022 	EXP 	stimulus: image = u'+.png'
66.6169 	EXP 	cue: autoDraw = True
66.7346 	EXP 	cue: autoDraw = False
68.2957 	EXP 	stimulus: autoDraw = True
68.4207 	EXP 	stimulus: autoDraw = False
68.5774 	DATA 	Keypress: space
70.8813 	EXP 	New trial (rep=3, index=1): {u'stimFile': u'x.png', u'corrAns': u'space'}
71.1771 	EXP 	cue: autoDraw = False
71.1771 	EXP 	stimulus: autoDraw = False
71.1771 	EXP 	stimulus: image = u'x.png'
71.1771 	EXP 	cue: autoDraw = True
71.2079 	EXP 	cue: autoDraw = False
72.7357 	EXP 	stimulus: autoDraw = True
72.8601 	EXP 	stimulus: autoDraw = False
73.0480 	DATA 	Keypress: space
75.3382 	EXP 	New trial (rep=4, index=0): {u'stimFile': u'x.png', u'corrAns': u'space'}
75.5397 	EXP 	cue: autoDraw = False
75.5397 	EXP 	stimulus: autoDraw = False
75.5397 	EXP 	stimulus: image = u'x.png'
75.5397 	EXP 	cue: autoDraw = True
75.6647 	EXP 	cue: autoDraw = False
77.1723 	EXP 	stimulus: autoDraw = True
77.2975 	EXP 	stimulus: autoDraw = False
77.4541 	DATA 	Keypress: space
79.7917 	EXP 	New trial (rep=4, index=1): {u'stimFile': u'+.png', u'corrAns': None}
79.8537 	EXP 	cue: autoDraw = False
79.8537 	EXP 	stimulus: autoDraw = False
79.8537 	EXP 	stimulus: image = u'+.png'
79.9781 	EXP 	cue: autoDraw = True
80.1036 	EXP 	cue: autoDraw = False
81.6229 	EXP 	stimulus: autoDraw = True
81.7401 	EXP 	stimulus: autoDraw = False
84.2197 	EXP 	New trial (rep=5, index=0): {u'stimFile': u'x.png', u'corrAns': u'space'}
84.5158 	EXP 	cue: autoDraw = False
84.5158 	EXP 	stimulus: autoDraw = False
84.5158 	EXP 	stimulus: image = u'x.png'
84.5158 	EXP 	cue: autoDraw = True
84.5467 	EXP 	cue: autoDraw = False
86.0748 	EXP 	stimulus: autoDraw = True
86.1997 	EXP 	stimulus: autoDraw = False
86.3875 	DATA 	Keypress: space
88.6636 	EXP 	New trial (rep=5, index=1): {u'stimFile': u'+.png', u'corrAns': None}
88.7257 	EXP 	cue: autoDraw = False
88.7257 	EXP 	stimulus: autoDraw = False
88.7257 	EXP 	stimulus: image = u'+.png'
88.8498 	EXP 	cue: autoDraw = True
88.9748 	EXP 	cue: autoDraw = False
90.5062 	EXP 	stimulus: autoDraw = True
90.6312 	EXP 	stimulus: autoDraw = False
93.0957 	EXP 	New trial (rep=6, index=0): {u'stimFile': u'+.png', u'corrAns': None}
93.1414 	EXP 	cue: autoDraw = False
93.1414 	EXP 	stimulus: autoDraw = False
93.1414 	EXP 	stimulus: image = u'+.png'
93.2973 	EXP 	cue: autoDraw = True
93.4223 	EXP 	cue: autoDraw = False
94.9538 	EXP 	stimulus: autoDraw = True
95.0788 	EXP 	stimulus: autoDraw = False
95.2978 	DATA 	Keypress: space
97.5311 	EXP 	New trial (rep=6, index=1): {u'stimFile': u'x.png', u'corrAns': u'space'}
97.8114 	EXP 	cue: autoDraw = False
97.8114 	EXP 	stimulus: autoDraw = False
97.8114 	EXP 	stimulus: image = u'x.png'
97.8114 	EXP 	cue: autoDraw = True
97.8420 	EXP 	cue: autoDraw = False
99.3745 	EXP 	stimulus: autoDraw = True
99.4991 	EXP 	stimulus: autoDraw = False
99.7495 	DATA 	Keypress: space
101.9712 	EXP 	New trial (rep=7, index=0): {u'stimFile': u'+.png', u'corrAns': None}
102.0331 	EXP 	cue: autoDraw = False
102.0331 	EXP 	stimulus: autoDraw = False
102.0331 	EXP 	stimulus: image = u'+.png'
102.1575 	EXP 	cue: autoDraw = True
102.2822 	EXP 	cue: autoDraw = False
103.8138 	EXP 	stimulus: autoDraw = True
103.9388 	EXP 	stimulus: autoDraw = False
106.4068 	EXP 	New trial (rep=7, index=1): {u'stimFile': u'x.png', u'corrAns': u'space'}
106.6717 	EXP 	cue: autoDraw = False
106.6717 	EXP 	stimulus: autoDraw = False
106.6717 	EXP 	stimulus: image = u'x.png'
106.6717 	EXP 	cue: autoDraw = True
106.7056 	EXP 	cue: autoDraw = False
108.2624 	EXP 	stimulus: autoDraw = True
108.3874 	EXP 	stimulus: autoDraw = False
108.5753 	DATA 	Keypress: space
110.8580 	EXP 	New trial (rep=8, index=0): {u'stimFile': u'x.png', u'corrAns': u'space'}
111.0599 	EXP 	cue: autoDraw = False
111.0599 	EXP 	stimulus: autoDraw = False
111.0599 	EXP 	stimulus: image = u'x.png'
111.0599 	EXP 	cue: autoDraw = True
111.1848 	EXP 	cue: autoDraw = False
112.7174 	EXP 	stimulus: autoDraw = True
112.8422 	EXP 	stimulus: autoDraw = False
