14.2636 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x160CCF50>, name='window1', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
14.2637 	EXP 	window1: recordFrameIntervals = False
14.5753 	EXP 	window1: recordFrameIntervals = True
14.9193 	EXP 	window1: recordFrameIntervals = False
15.1838 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.085, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
15.1884 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x083F8410>: vertices = array([[-1.5,  1.5],
       [ 1.5,  1.5],
       [ 1.5, -1.5],
       [-1.5, -1.5]])
15.1907 	EXP 	Created cue = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([-1., -1., -1.]), fillColorSpace='rgb', fillRGB=array([-1., -1., -1.]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=1, name='cue', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...))
15.1937 	EXP 	Created stimulus = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stimulus', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.25,  0.5 ]), texRes=128, units=u'norm', win=Window(...))
15.2028 	EXP 	text: autoDraw = True
16.8359 	DATA 	Keypress: space
16.8489 	EXP 	Imported condtitions.xlsx as conditions, 2 conditions, 2 params
16.8496 	EXP 	Created sequence: random, trialTypes=2, nReps=30, seed=None
16.8501 	EXP 	New trial (rep=0, index=0): {u'stimFile': u'+.png', u'corrAns': None}
16.8980 	EXP 	text: autoDraw = False
16.8980 	EXP 	stimulus: image = u'+.png'
17.0542 	EXP 	cue: autoDraw = True
17.1792 	EXP 	cue: autoDraw = False
18.7106 	EXP 	stimulus: autoDraw = True
18.8356 	EXP 	stimulus: autoDraw = False
18.9922 	DATA 	Keypress: space
21.2863 	EXP 	New trial (rep=0, index=1): {u'stimFile': u'x.png', u'corrAns': u'space'}
21.5085 	EXP 	cue: autoDraw = False
21.5085 	EXP 	stimulus: autoDraw = False
21.5085 	EXP 	stimulus: image = u'x.png'
21.5085 	EXP 	cue: autoDraw = True
21.6015 	EXP 	cue: autoDraw = False
23.1430 	EXP 	stimulus: autoDraw = True
23.2676 	EXP 	stimulus: autoDraw = False
23.4251 	DATA 	Keypress: space
25.7378 	EXP 	New trial (rep=1, index=0): {u'stimFile': u'+.png', u'corrAns': None}
25.8186 	EXP 	cue: autoDraw = False
25.8186 	EXP 	stimulus: autoDraw = False
25.8186 	EXP 	stimulus: image = u'+.png'
25.9404 	EXP 	cue: autoDraw = True
26.0649 	EXP 	cue: autoDraw = False
27.5723 	EXP 	stimulus: autoDraw = True
27.6969 	EXP 	stimulus: autoDraw = False
30.1824 	EXP 	New trial (rep=1, index=1): {u'stimFile': u'x.png', u'corrAns': u'space'}
30.4163 	EXP 	cue: autoDraw = False
30.4163 	EXP 	stimulus: autoDraw = False
30.4163 	EXP 	stimulus: image = u'x.png'
30.4163 	EXP 	cue: autoDraw = True
30.5101 	EXP 	cue: autoDraw = False
32.0151 	EXP 	stimulus: autoDraw = True
32.1714 	EXP 	stimulus: autoDraw = False
32.2971 	DATA 	Keypress: space
34.6418 	EXP 	New trial (rep=2, index=0): {u'stimFile': u'+.png', u'corrAns': None}
34.7040 	EXP 	cue: autoDraw = False
34.7040 	EXP 	stimulus: autoDraw = False
34.7040 	EXP 	stimulus: image = u'+.png'
34.8280 	EXP 	cue: autoDraw = True
34.9529 	EXP 	cue: autoDraw = False
36.4603 	EXP 	stimulus: autoDraw = True
36.6023 	EXP 	stimulus: autoDraw = False
39.0723 	EXP 	New trial (rep=2, index=1): {u'stimFile': u'x.png', u'corrAns': u'space'}
39.3526 	EXP 	cue: autoDraw = False
39.3526 	EXP 	stimulus: autoDraw = False
39.3526 	EXP 	stimulus: image = u'x.png'
39.3526 	EXP 	cue: autoDraw = True
39.3843 	EXP 	cue: autoDraw = False
40.9146 	EXP 	stimulus: autoDraw = True
41.0395 	EXP 	stimulus: autoDraw = False
41.2329 	DATA 	Keypress: space
43.5089 	EXP 	New trial (rep=3, index=0): {u'stimFile': u'+.png', u'corrAns': None}
43.5717 	EXP 	cue: autoDraw = False
43.5717 	EXP 	stimulus: autoDraw = False
43.5717 	EXP 	stimulus: image = u'+.png'
43.6953 	EXP 	cue: autoDraw = True
43.8203 	EXP 	cue: autoDraw = False
45.3514 	EXP 	stimulus: autoDraw = True
45.4773 	EXP 	stimulus: autoDraw = False
47.9468 	EXP 	New trial (rep=3, index=1): {u'stimFile': u'x.png', u'corrAns': u'space'}
48.2438 	EXP 	cue: autoDraw = False
48.2438 	EXP 	stimulus: autoDraw = False
48.2438 	EXP 	stimulus: image = u'x.png'
48.2438 	EXP 	cue: autoDraw = True
48.2741 	EXP 	cue: autoDraw = False
49.8056 	EXP 	stimulus: autoDraw = True
49.9307 	EXP 	stimulus: autoDraw = False
50.0872 	DATA 	Keypress: space
52.3843 	EXP 	New trial (rep=4, index=0): {u'stimFile': u'x.png', u'corrAns': u'space'}
52.5865 	EXP 	cue: autoDraw = False
52.5865 	EXP 	stimulus: autoDraw = False
52.5865 	EXP 	stimulus: image = u'x.png'
52.5865 	EXP 	cue: autoDraw = True
52.7108 	EXP 	cue: autoDraw = False
54.2429 	EXP 	stimulus: autoDraw = True
54.3673 	EXP 	stimulus: autoDraw = False
54.5558 	DATA 	Keypress: space
56.8213 	EXP 	New trial (rep=4, index=1): {u'stimFile': u'+.png', u'corrAns': None}
56.8839 	EXP 	cue: autoDraw = False
56.8839 	EXP 	stimulus: autoDraw = False
56.8839 	EXP 	stimulus: image = u'+.png'
57.0075 	EXP 	cue: autoDraw = True
57.1326 	EXP 	cue: autoDraw = False
58.6807 	EXP 	stimulus: autoDraw = True
58.8102 	EXP 	stimulus: autoDraw = False
61.2606 	EXP 	New trial (rep=5, index=0): {u'stimFile': u'+.png', u'corrAns': None}
61.2929 	EXP 	cue: autoDraw = False
61.2929 	EXP 	stimulus: autoDraw = False
61.2929 	EXP 	stimulus: image = u'+.png'
61.4284 	EXP 	cue: autoDraw = True
61.5697 	EXP 	cue: autoDraw = False
63.1185 	EXP 	stimulus: autoDraw = True
63.2441 	EXP 	stimulus: autoDraw = False
65.7140 	EXP 	New trial (rep=5, index=1): {u'stimFile': u'x.png', u'corrAns': u'space'}
65.9946 	EXP 	cue: autoDraw = False
65.9946 	EXP 	stimulus: autoDraw = False
65.9946 	EXP 	stimulus: image = u'x.png'
65.9946 	EXP 	cue: autoDraw = True
66.0253 	EXP 	cue: autoDraw = False
67.5553 	EXP 	stimulus: autoDraw = True
67.6798 	EXP 	stimulus: autoDraw = False
67.9301 	DATA 	Keypress: space
70.1488 	EXP 	New trial (rep=6, index=0): {u'stimFile': u'x.png', u'corrAns': u'space'}
70.3504 	EXP 	cue: autoDraw = False
70.3504 	EXP 	stimulus: autoDraw = False
70.3504 	EXP 	stimulus: image = u'x.png'
70.3504 	EXP 	cue: autoDraw = True
70.4752 	EXP 	cue: autoDraw = False
72.0083 	EXP 	stimulus: autoDraw = True
72.1334 	EXP 	stimulus: autoDraw = False
72.4154 	DATA 	Keypress: space
74.5904 	EXP 	New trial (rep=6, index=1): {u'stimFile': u'+.png', u'corrAns': None}
74.6528 	EXP 	cue: autoDraw = False
74.6528 	EXP 	stimulus: autoDraw = False
74.6528 	EXP 	stimulus: image = u'+.png'
74.7771 	EXP 	cue: autoDraw = True
74.9017 	EXP 	cue: autoDraw = False
76.4179 	EXP 	stimulus: autoDraw = True
76.5413 	EXP 	stimulus: autoDraw = False
79.0420 	EXP 	New trial (rep=7, index=0): {u'stimFile': u'+.png', u'corrAns': None}
79.0886 	EXP 	cue: autoDraw = False
79.0886 	EXP 	stimulus: autoDraw = False
79.0886 	EXP 	stimulus: image = u'+.png'
79.2446 	EXP 	cue: autoDraw = True
79.3690 	EXP 	cue: autoDraw = False
80.9006 	EXP 	stimulus: autoDraw = True
81.0261 	EXP 	stimulus: autoDraw = False
83.4939 	EXP 	New trial (rep=7, index=1): {u'stimFile': u'x.png', u'corrAns': u'space'}
83.7742 	EXP 	cue: autoDraw = False
83.7742 	EXP 	stimulus: autoDraw = False
83.7742 	EXP 	stimulus: image = u'x.png'
