14.0613 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x15E1AF50>, name='window1', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
14.0614 	EXP 	window1: recordFrameIntervals = False
14.3731 	EXP 	window1: recordFrameIntervals = True
14.7176 	EXP 	window1: recordFrameIntervals = False
14.9785 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.085, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
14.9834 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x0824C410>: vertices = array([[-1.5,  1.5],
       [ 1.5,  1.5],
       [ 1.5, -1.5],
       [-1.5, -1.5]])
14.9856 	EXP 	Created cue = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([-1., -1., -1.]), fillColorSpace='rgb', fillRGB=array([-1., -1., -1.]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=1, name='cue', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...))
14.9885 	EXP 	Created stimulus = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stimulus', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.25,  0.5 ]), texRes=128, units=u'norm', win=Window(...))
15.0145 	EXP 	text: autoDraw = True
22.4058 	DATA 	Keypress: tab
22.4166 	EXP 	Imported condtitions.xlsx as conditions, 2 conditions, 2 params
22.4173 	EXP 	Created sequence: random, trialTypes=2, nReps=30, seed=None
22.4178 	EXP 	New trial (rep=0, index=0): {u'stimFile': u'+.png', u'corrAns': None}
22.4680 	EXP 	text: autoDraw = False
22.4680 	EXP 	stimulus: image = u'+.png'
22.6244 	EXP 	cue: autoDraw = True
22.7495 	EXP 	cue: autoDraw = False
24.2494 	EXP 	stimulus: autoDraw = True
24.4055 	EXP 	stimulus: autoDraw = False
24.6559 	DATA 	Keypress: tab
26.8593 	EXP 	New trial (rep=0, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
27.0923 	EXP 	cue: autoDraw = False
27.0923 	EXP 	stimulus: autoDraw = False
27.0923 	EXP 	stimulus: image = u'x.png'
27.0923 	EXP 	cue: autoDraw = True
27.1858 	EXP 	cue: autoDraw = False
28.7175 	EXP 	stimulus: autoDraw = True
28.8425 	EXP 	stimulus: autoDraw = False
29.0928 	DATA 	Keypress: tab
31.2953 	EXP 	New trial (rep=1, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
31.4816 	EXP 	cue: autoDraw = False
31.4816 	EXP 	stimulus: autoDraw = False
31.4816 	EXP 	stimulus: image = u'x.png'
31.4816 	EXP 	cue: autoDraw = True
31.6066 	EXP 	cue: autoDraw = False
33.1382 	EXP 	stimulus: autoDraw = True
33.2630 	EXP 	stimulus: autoDraw = False
33.5447 	DATA 	Keypress: tab
35.7335 	EXP 	New trial (rep=1, index=1): {u'stimFile': u'+.png', u'corrAns': None}
35.7992 	EXP 	cue: autoDraw = False
35.7992 	EXP 	stimulus: autoDraw = False
35.7992 	EXP 	stimulus: image = u'+.png'
35.9200 	EXP 	cue: autoDraw = True
36.0447 	EXP 	cue: autoDraw = False
37.5761 	EXP 	stimulus: autoDraw = True
37.7015 	EXP 	stimulus: autoDraw = False
