17.3436 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x15C2EF50>, name='window1', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
17.3437 	EXP 	window1: recordFrameIntervals = False
17.6400 	EXP 	window1: recordFrameIntervals = True
17.8244 	EXP 	window1: recordFrameIntervals = False
18.0928 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.085, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
18.0977 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x0806B410>: vertices = array([[-1.5,  1.5],
       [ 1.5,  1.5],
       [ 1.5, -1.5],
       [-1.5, -1.5]])
18.1000 	EXP 	Created cue = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([-1., -1., -1.]), fillColorSpace='rgb', fillRGB=array([-1., -1., -1.]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=1, name='cue', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...))
18.1033 	EXP 	Created stimulus = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stimulus', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.25,  0.5 ]), texRes=128, units=u'norm', win=Window(...))
18.1258 	EXP 	text: autoDraw = True
66.5664 	DATA 	Keypress: tab
66.5772 	EXP 	Imported condtitions.xlsx as conditions, 2 conditions, 2 params
66.5778 	EXP 	Created sequence: random, trialTypes=2, nReps=30, seed=None
66.5783 	EXP 	New trial (rep=0, index=0): {u'stimFile': u'+.png', u'corrAns': None}
66.6284 	EXP 	text: autoDraw = False
66.6284 	EXP 	stimulus: image = u'+.png'
66.7848 	EXP 	cue: autoDraw = True
66.9102 	EXP 	cue: autoDraw = False
68.4381 	EXP 	stimulus: autoDraw = True
68.5632 	EXP 	stimulus: autoDraw = False
71.0175 	EXP 	New trial (rep=0, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
71.2197 	EXP 	cue: autoDraw = False
71.2197 	EXP 	stimulus: autoDraw = False
71.2197 	EXP 	stimulus: image = u'x.png'
71.2197 	EXP 	cue: autoDraw = True
71.3445 	EXP 	cue: autoDraw = False
72.8417 	EXP 	stimulus: autoDraw = True
72.9845 	EXP 	stimulus: autoDraw = False
73.2049 	DATA 	Keypress: tab
75.4717 	EXP 	New trial (rep=1, index=0): {u'stimFile': u'+.png', u'corrAns': None}
75.5533 	EXP 	cue: autoDraw = False
75.5533 	EXP 	stimulus: autoDraw = False
75.5533 	EXP 	stimulus: image = u'+.png'
75.6738 	EXP 	cue: autoDraw = True
75.7988 	EXP 	cue: autoDraw = False
77.3304 	EXP 	stimulus: autoDraw = True
77.4553 	EXP 	stimulus: autoDraw = False
79.9257 	EXP 	New trial (rep=1, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
80.1594 	EXP 	cue: autoDraw = False
80.1594 	EXP 	stimulus: autoDraw = False
80.1594 	EXP 	stimulus: image = u'x.png'
80.1594 	EXP 	cue: autoDraw = True
80.2523 	EXP 	cue: autoDraw = False
81.7842 	EXP 	stimulus: autoDraw = True
81.9089 	EXP 	stimulus: autoDraw = False
82.2843 	DATA 	Keypress: tab
84.3637 	EXP 	New trial (rep=2, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
84.5500 	EXP 	cue: autoDraw = False
84.5500 	EXP 	stimulus: autoDraw = False
84.5500 	EXP 	stimulus: image = u'x.png'
84.5500 	EXP 	cue: autoDraw = True
84.6750 	EXP 	cue: autoDraw = False
86.2070 	EXP 	stimulus: autoDraw = True
86.3314 	EXP 	stimulus: autoDraw = False
86.8006 	DATA 	Keypress: tab
88.7990 	EXP 	New trial (rep=2, index=1): {u'stimFile': u'+.png', u'corrAns': None}
88.8621 	EXP 	cue: autoDraw = False
88.8621 	EXP 	stimulus: autoDraw = False
88.8621 	EXP 	stimulus: image = u'+.png'
88.9855 	EXP 	cue: autoDraw = True
89.1104 	EXP 	cue: autoDraw = False
90.6416 	EXP 	stimulus: autoDraw = True
90.7668 	EXP 	stimulus: autoDraw = False
93.2516 	EXP 	New trial (rep=3, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
93.5470 	EXP 	cue: autoDraw = False
93.5470 	EXP 	stimulus: autoDraw = False
93.5470 	EXP 	stimulus: image = u'x.png'
93.5470 	EXP 	cue: autoDraw = True
93.5787 	EXP 	cue: autoDraw = False
95.1097 	EXP 	stimulus: autoDraw = True
95.2348 	EXP 	stimulus: autoDraw = False
95.7041 	DATA 	Keypress: tab
97.6910 	EXP 	New trial (rep=3, index=1): {u'stimFile': u'+.png', u'corrAns': None}
97.7407 	EXP 	cue: autoDraw = False
