16.8784 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x153CEF50>, name='window1', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
16.8785 	EXP 	window1: recordFrameIntervals = False
17.1534 	EXP 	window1: recordFrameIntervals = True
17.2159 	WARNING 	t of last frame was 31.20ms (=1/32)
17.2472 	WARNING 	t of last frame was 31.34ms (=1/31)
17.2786 	WARNING 	t of last frame was 31.34ms (=1/31)
17.3096 	WARNING 	t of last frame was 31.05ms (=1/32)
17.3411 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
17.4975 	EXP 	window1: recordFrameIntervals = False
17.7572 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.085, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
17.7623 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x077FB410>: vertices = array([[-1.5,  1.5],
       [ 1.5,  1.5],
       [ 1.5, -1.5],
       [-1.5, -1.5]])
17.7646 	EXP 	Created cue = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([-1., -1., -1.]), fillColorSpace='rgb', fillRGB=array([-1., -1., -1.]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=1, name='cue', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...))
17.7675 	EXP 	Created stimulus = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stimulus', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.25,  0.5 ]), texRes=128, units=u'norm', win=Window(...))
17.7959 	EXP 	text: autoDraw = True
36.7470 	DATA 	Keypress: tab
36.7583 	EXP 	Imported condtitions.xlsx as conditions, 2 conditions, 2 params
36.7591 	EXP 	Created sequence: random, trialTypes=2, nReps=30, seed=None
36.7596 	EXP 	New trial (rep=0, index=0): {u'stimFile': u'+.png', u'corrAns': None}
36.7965 	EXP 	text: autoDraw = False
36.7965 	EXP 	stimulus: image = u'+.png'
36.9304 	EXP 	cue: autoDraw = True
37.1079 	EXP 	cue: autoDraw = False
38.6079 	EXP 	stimulus: autoDraw = True
38.7329 	EXP 	stimulus: autoDraw = False
41.2200 	EXP 	New trial (rep=0, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
41.4214 	EXP 	cue: autoDraw = False
41.4214 	EXP 	stimulus: autoDraw = False
41.4214 	EXP 	stimulus: image = u'x.png'
41.4214 	EXP 	cue: autoDraw = True
41.5460 	EXP 	cue: autoDraw = False
43.0602 	EXP 	stimulus: autoDraw = True
43.2167 	EXP 	stimulus: autoDraw = False
43.4358 	DATA 	Keypress: tab
45.6553 	EXP 	New trial (rep=1, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
45.8579 	EXP 	cue: autoDraw = False
45.8579 	EXP 	stimulus: autoDraw = False
45.8579 	EXP 	stimulus: image = u'x.png'
45.8579 	EXP 	cue: autoDraw = True
45.9827 	EXP 	cue: autoDraw = False
47.5141 	EXP 	stimulus: autoDraw = True
47.6384 	EXP 	stimulus: autoDraw = False
48.0144 	DATA 	Keypress: tab
50.1097 	EXP 	New trial (rep=1, index=1): {u'stimFile': u'+.png', u'corrAns': None}
50.1900 	EXP 	cue: autoDraw = False
50.1900 	EXP 	stimulus: autoDraw = False
50.1900 	EXP 	stimulus: image = u'+.png'
50.3112 	EXP 	cue: autoDraw = True
50.4366 	EXP 	cue: autoDraw = False
51.9401 	EXP 	stimulus: autoDraw = True
52.1070 	EXP 	stimulus: autoDraw = False
54.5768 	EXP 	New trial (rep=2, index=0): {u'stimFile': u'+.png', u'corrAns': None}
54.6228 	EXP 	cue: autoDraw = False
54.6228 	EXP 	stimulus: autoDraw = False
54.6228 	EXP 	stimulus: image = u'+.png'
54.7790 	EXP 	cue: autoDraw = True
54.9038 	EXP 	cue: autoDraw = False
56.4359 	EXP 	stimulus: autoDraw = True
56.5603 	EXP 	stimulus: autoDraw = False
59.0148 	EXP 	New trial (rep=2, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
59.2644 	EXP 	cue: autoDraw = False
59.2644 	EXP 	stimulus: autoDraw = False
59.2644 	EXP 	stimulus: image = u'x.png'
59.2644 	EXP 	cue: autoDraw = True
59.3577 	EXP 	cue: autoDraw = False
60.8580 	EXP 	stimulus: autoDraw = True
61.0140 	EXP 	stimulus: autoDraw = False
61.2643 	DATA 	Keypress: tab
63.4688 	EXP 	New trial (rep=3, index=0): {u'stimFile': u'+.png', u'corrAns': None}
63.5311 	EXP 	cue: autoDraw = False
63.5311 	EXP 	stimulus: autoDraw = False
63.5311 	EXP 	stimulus: image = u'+.png'
63.6550 	EXP 	cue: autoDraw = True
63.8112 	EXP 	cue: autoDraw = False
65.3115 	EXP 	stimulus: autoDraw = True
65.4680 	EXP 	stimulus: autoDraw = False
67.9044 	EXP 	New trial (rep=3, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
68.1538 	EXP 	cue: autoDraw = False
68.1538 	EXP 	stimulus: autoDraw = False
68.1538 	EXP 	stimulus: image = u'x.png'
68.1538 	EXP 	cue: autoDraw = True
68.2475 	EXP 	cue: autoDraw = False
69.7476 	EXP 	stimulus: autoDraw = True
69.9043 	EXP 	stimulus: autoDraw = False
70.1854 	DATA 	Keypress: tab
72.3574 	EXP 	New trial (rep=4, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
72.5595 	EXP 	cue: autoDraw = False
72.5595 	EXP 	stimulus: autoDraw = False
72.5595 	EXP 	stimulus: image = u'x.png'
72.5595 	EXP 	cue: autoDraw = True
72.6844 	EXP 	cue: autoDraw = False
74.2019 	EXP 	stimulus: autoDraw = True
74.3272 	EXP 	stimulus: autoDraw = False
74.6084 	DATA 	Keypress: tab
76.8045 	EXP 	New trial (rep=4, index=1): {u'stimFile': u'+.png', u'corrAns': None}
76.8541 	EXP 	cue: autoDraw = False
76.8541 	EXP 	stimulus: autoDraw = False
76.8541 	EXP 	stimulus: image = u'+.png'
76.9883 	EXP 	cue: autoDraw = True
77.1384 	EXP 	cue: autoDraw = False
78.6552 	EXP 	stimulus: autoDraw = True
78.7802 	EXP 	stimulus: autoDraw = False
81.2502 	EXP 	New trial (rep=5, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
81.5467 	EXP 	cue: autoDraw = False
81.5467 	EXP 	stimulus: autoDraw = False
81.5467 	EXP 	stimulus: image = u'x.png'
81.5467 	EXP 	cue: autoDraw = True
81.5779 	EXP 	cue: autoDraw = False
83.1074 	EXP 	stimulus: autoDraw = True
83.2318 	EXP 	stimulus: autoDraw = False
83.6385 	DATA 	Keypress: tab
85.7020 	EXP 	New trial (rep=5, index=1): {u'stimFile': u'+.png', u'corrAns': None}
85.7645 	EXP 	cue: autoDraw = False
85.7645 	EXP 	stimulus: autoDraw = False
85.7645 	EXP 	stimulus: image = u'+.png'
85.9041 	EXP 	cue: autoDraw = True
86.0293 	EXP 	cue: autoDraw = False
87.5624 	EXP 	stimulus: autoDraw = True
87.6875 	EXP 	stimulus: autoDraw = False
90.1575 	EXP 	New trial (rep=6, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
90.4545 	EXP 	cue: autoDraw = False
90.4545 	EXP 	stimulus: autoDraw = False
90.4545 	EXP 	stimulus: image = u'x.png'
90.4545 	EXP 	cue: autoDraw = True
90.4850 	EXP 	cue: autoDraw = False
91.9891 	EXP 	stimulus: autoDraw = True
92.1550 	EXP 	stimulus: autoDraw = False
92.4684 	DATA 	Keypress: tab
94.6251 	EXP 	New trial (rep=6, index=1): {u'stimFile': u'+.png', u'corrAns': None}
94.6875 	EXP 	cue: autoDraw = False
94.6875 	EXP 	stimulus: autoDraw = False
94.6875 	EXP 	stimulus: image = u'+.png'
94.8113 	EXP 	cue: autoDraw = True
94.9679 	EXP 	cue: autoDraw = False
96.4682 	EXP 	stimulus: autoDraw = True
96.6242 	EXP 	stimulus: autoDraw = False
99.0769 	EXP 	New trial (rep=7, index=0): {u'stimFile': u'+.png', u'corrAns': None}
99.1228 	EXP 	cue: autoDraw = False
99.1228 	EXP 	stimulus: autoDraw = False
99.1228 	EXP 	stimulus: image = u'+.png'
99.2792 	EXP 	cue: autoDraw = True
99.4040 	EXP 	cue: autoDraw = False
100.9200 	EXP 	stimulus: autoDraw = True
101.0767 	EXP 	stimulus: autoDraw = False
103.5154 	EXP 	New trial (rep=7, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
103.8114 	EXP 	cue: autoDraw = False
103.8114 	EXP 	stimulus: autoDraw = False
103.8114 	EXP 	stimulus: image = u'x.png'
103.8114 	EXP 	cue: autoDraw = True
103.8425 	EXP 	cue: autoDraw = False
105.3741 	EXP 	stimulus: autoDraw = True
105.4993 	EXP 	stimulus: autoDraw = False
105.9069 	DATA 	Keypress: tab
107.9547 	EXP 	New trial (rep=8, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
108.1559 	EXP 	cue: autoDraw = False
108.1559 	EXP 	stimulus: autoDraw = False
108.1559 	EXP 	stimulus: image = u'x.png'
