14.2759 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1628FF90>, name='window1', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
14.2759 	EXP 	window1: recordFrameIntervals = False
14.5879 	EXP 	window1: recordFrameIntervals = True
15.0055 	EXP 	window1: recordFrameIntervals = False
15.2755 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.085, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
15.2801 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x086BB410>: vertices = array([[-1.5,  1.5],
       [ 1.5,  1.5],
       [ 1.5, -1.5],
       [-1.5, -1.5]])
15.2824 	EXP 	Created cue = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([-1., -1., -1.]), fillColorSpace='rgb', fillRGB=array([-1., -1., -1.]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=1, name='cue', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...))
15.2852 	EXP 	Created stimulus = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stimulus', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.25,  0.5 ]), texRes=128, units=u'norm', win=Window(...))
15.3058 	EXP 	text: autoDraw = True
40.4623 	DATA 	Keypress: space
40.4729 	EXP 	Imported condtitions.xlsx as conditions, 2 conditions, 2 params
40.4736 	EXP 	Created sequence: random, trialTypes=2, nReps=30, seed=None
40.4741 	EXP 	New trial (rep=0, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
40.7121 	EXP 	text: autoDraw = False
40.7121 	EXP 	stimulus: image = u'x.png'
40.7121 	EXP 	cue: autoDraw = True
40.8060 	EXP 	cue: autoDraw = False
42.3057 	EXP 	stimulus: autoDraw = True
42.4620 	EXP 	stimulus: autoDraw = False
44.9048 	EXP 	New trial (rep=0, index=1): {u'stimFile': u'+.png', u'corrAns': None}
44.9735 	EXP 	cue: autoDraw = False
44.9735 	EXP 	stimulus: autoDraw = False
