stimFile,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_respons.keys,key_respons.corr,key_respons.rt,session,noise,participant,frameRate,expName,date,
x.png,tab,0,0,0,1,tab,1,0.468985075247,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
+.png,None,0,1,1,0,None,1,,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
+.png,None,1,0,2,0,None,1,,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
x.png,tab,1,1,3,1,tab,1,0.350815853453,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
x.png,tab,2,0,4,1,tab,1,0.312730794074,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
+.png,None,2,1,5,0,None,1,,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
x.png,tab,3,0,6,1,tab,1,0.250360456994,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
+.png,None,3,1,7,0,None,1,,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
x.png,tab,4,0,8,1,tab,1,0.250302891014,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
+.png,None,4,1,9,0,None,1,,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
x.png,tab,5,0,10,1,tab,1,0.28176071716,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
+.png,None,5,1,11,0,None,1,,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
+.png,None,6,0,12,0,None,1,,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
x.png,tab,6,1,13,1,tab,1,0.31291330955,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
x.png,tab,7,0,14,1,tab,1,0.281683516223,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
+.png,None,7,1,15,0,None,1,,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
x.png,tab,8,0,16,1,tab,1,0.406179199927,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
+.png,None,8,1,17,0,None,1,,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
x.png,tab,9,0,18,1,tab,1,0.250340375933,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
+.png,None,9,1,19,0,None,1,,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
+.png,None,10,0,20,0,None,1,,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
x.png,tab,10,1,21,1,tab,1,0.323734384147,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
+.png,None,11,0,22,0,None,1,,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
x.png,tab,11,1,23,1,tab,1,0.281477349577,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
+.png,None,12,0,24,0,None,1,,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
x.png,tab,12,1,25,1,tab,1,0.343598679989,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
x.png,tab,13,0,26,1,tab,1,0.312289900729,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
+.png,None,13,1,27,0,None,1,,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
+.png,None,14,0,28,0,None,1,,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
x.png,tab,14,1,29,1,tab,1,0.312904384569,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
x.png,tab,15,0,30,1,tab,1,0.327761774883,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
+.png,None,15,1,31,0,None,1,,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
x.png,tab,16,0,32,1,tab,1,0.251825936371,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
+.png,None,16,1,33,0,None,1,,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
+.png,None,17,0,34,0,None,1,,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
x.png,tab,17,1,35,1,tab,1,0.313121261308,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
x.png,tab,18,0,36,1,tab,1,0.312965520658,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
+.png,None,18,1,37,0,None,1,,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
x.png,tab,19,0,38,1,tab,1,0.31309270137,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
+.png,None,19,1,39,0,None,1,,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
x.png,tab,20,0,40,1,tab,1,0.313344831695,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
+.png,None,20,1,41,0,None,1,,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
x.png,tab,21,0,42,1,tab,1,0.281576416688,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
+.png,None,21,1,43,0,None,1,,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
x.png,tab,22,0,44,1,tab,1,0.250397049356,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
+.png,None,22,1,45,0,None,1,,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
x.png,tab,23,0,46,1,tab,1,0.281625504023,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
+.png,None,23,1,47,0,None,1,,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
+.png,None,24,0,48,0,None,1,,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
x.png,tab,24,1,49,1,tab,1,0.313818301191,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
+.png,None,25,0,50,0,None,1,,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
x.png,tab,25,1,51,1,tab,1,0.282339054975,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
+.png,None,26,0,52,0,None,1,,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
x.png,tab,26,1,53,1,tab,1,0.313057447784,3,n,KM_15,59.5488076302,go_no-go,2017_maj_25_1609,
