15.2731 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1571EF50>, name='window1', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
15.2732 	EXP 	window1: recordFrameIntervals = False
15.5705 	EXP 	window1: recordFrameIntervals = True
15.7551 	EXP 	window1: recordFrameIntervals = False
16.0252 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.085, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
16.0303 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x07B6B410>: vertices = array([[-1.5,  1.5],
       [ 1.5,  1.5],
       [ 1.5, -1.5],
       [-1.5, -1.5]])
16.0327 	EXP 	Created cue = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([-1., -1., -1.]), fillColorSpace='rgb', fillRGB=array([-1., -1., -1.]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=1, name='cue', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...))
16.0359 	EXP 	Created stimulus = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stimulus', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.25,  0.5 ]), texRes=128, units=u'norm', win=Window(...))
16.0624 	EXP 	text: autoDraw = True
25.3614 	DATA 	Keypress: space
25.3719 	EXP 	Imported condtitions.xlsx as conditions, 2 conditions, 2 params
25.3725 	EXP 	Created sequence: random, trialTypes=2, nReps=30, seed=None
25.3730 	EXP 	New trial (rep=0, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
25.6112 	EXP 	text: autoDraw = False
25.6112 	EXP 	stimulus: image = u'x.png'
25.6112 	EXP 	cue: autoDraw = True
25.6779 	EXP 	cue: autoDraw = False
27.2355 	EXP 	stimulus: autoDraw = True
27.3605 	EXP 	stimulus: autoDraw = False
27.8294 	DATA 	Keypress: tab
29.8318 	EXP 	New trial (rep=0, index=1): {u'stimFile': u'+.png', u'corrAns': None}
29.8810 	EXP 	cue: autoDraw = False
29.8810 	EXP 	stimulus: autoDraw = False
29.8810 	EXP 	stimulus: image = u'+.png'
30.0331 	EXP 	cue: autoDraw = True
30.1580 	EXP 	cue: autoDraw = False
31.6739 	EXP 	stimulus: autoDraw = True
31.7991 	EXP 	stimulus: autoDraw = False
34.2688 	EXP 	New trial (rep=1, index=0): {u'stimFile': u'+.png', u'corrAns': None}
34.2845 	EXP 	cue: autoDraw = False
34.2845 	EXP 	stimulus: autoDraw = False
34.2845 	EXP 	stimulus: image = u'+.png'
34.4709 	EXP 	cue: autoDraw = True
34.5961 	EXP 	cue: autoDraw = False
36.1247 	EXP 	stimulus: autoDraw = True
36.2497 	EXP 	stimulus: autoDraw = False
38.7196 	EXP 	New trial (rep=1, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
38.8751 	EXP 	cue: autoDraw = False
38.8751 	EXP 	stimulus: autoDraw = False
38.8751 	EXP 	stimulus: image = u'x.png'
38.9064 	EXP 	cue: autoDraw = True
39.0312 	EXP 	cue: autoDraw = False
40.5626 	EXP 	stimulus: autoDraw = True
40.6788 	EXP 	stimulus: autoDraw = False
41.0463 	DATA 	Keypress: tab
43.1718 	EXP 	New trial (rep=2, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
43.3585 	EXP 	cue: autoDraw = False
43.3585 	EXP 	stimulus: autoDraw = False
43.3585 	EXP 	stimulus: image = u'x.png'
43.3585 	EXP 	cue: autoDraw = True
43.4832 	EXP 	cue: autoDraw = False
45.0317 	EXP 	stimulus: autoDraw = True
45.1566 	EXP 	stimulus: autoDraw = False
45.4692 	DATA 	Keypress: tab
47.6100 	EXP 	New trial (rep=2, index=1): {u'stimFile': u'+.png', u'corrAns': None}
47.6431 	EXP 	cue: autoDraw = False
47.6431 	EXP 	stimulus: autoDraw = False
47.6431 	EXP 	stimulus: image = u'+.png'
47.7963 	EXP 	cue: autoDraw = True
47.9214 	EXP 	cue: autoDraw = False
49.4527 	EXP 	stimulus: autoDraw = True
49.5780 	EXP 	stimulus: autoDraw = False
52.0641 	EXP 	New trial (rep=3, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
52.2977 	EXP 	cue: autoDraw = False
52.2977 	EXP 	stimulus: autoDraw = False
52.2977 	EXP 	stimulus: image = u'x.png'
52.2977 	EXP 	cue: autoDraw = True
52.3913 	EXP 	cue: autoDraw = False
53.9072 	EXP 	stimulus: autoDraw = True
54.0321 	EXP 	stimulus: autoDraw = False
54.3136 	DATA 	Keypress: tab
56.5042 	EXP 	New trial (rep=3, index=1): {u'stimFile': u'+.png', u'corrAns': None}
56.5663 	EXP 	cue: autoDraw = False
56.5663 	EXP 	stimulus: autoDraw = False
56.5663 	EXP 	stimulus: image = u'+.png'
56.6904 	EXP 	cue: autoDraw = True
56.8150 	EXP 	cue: autoDraw = False
58.3466 	EXP 	stimulus: autoDraw = True
58.4718 	EXP 	stimulus: autoDraw = False
60.9396 	EXP 	New trial (rep=4, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
61.1421 	EXP 	cue: autoDraw = False
61.1421 	EXP 	stimulus: autoDraw = False
61.1421 	EXP 	stimulus: image = u'x.png'
61.1421 	EXP 	cue: autoDraw = True
61.2671 	EXP 	cue: autoDraw = False
62.7981 	EXP 	stimulus: autoDraw = True
62.9230 	EXP 	stimulus: autoDraw = False
63.1733 	DATA 	Keypress: tab
