14.6533 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x15D0BF50>, name='window1', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
14.6533 	EXP 	window1: recordFrameIntervals = False
14.9653 	EXP 	window1: recordFrameIntervals = True
15.3097 	EXP 	window1: recordFrameIntervals = False
15.5772 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.085, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
15.5822 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x07FDA410>: vertices = array([[-1.5,  1.5],
       [ 1.5,  1.5],
       [ 1.5, -1.5],
       [-1.5, -1.5]])
15.5847 	EXP 	Created cue = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([-1., -1., -1.]), fillColorSpace='rgb', fillRGB=array([-1., -1., -1.]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=1, name='cue', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...))
15.5882 	EXP 	Created stimulus = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stimulus', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.25,  0.5 ]), texRes=128, units=u'norm', win=Window(...))
15.6108 	EXP 	text: autoDraw = True
22.5099 	DATA 	Keypress: space
22.5193 	EXP 	Imported condtitions.xlsx as conditions, 2 conditions, 2 params
22.5200 	EXP 	Created sequence: random, trialTypes=2, nReps=30, seed=None
22.5208 	EXP 	New trial (rep=0, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
22.7131 	EXP 	text: autoDraw = False
22.7131 	EXP 	stimulus: image = u'x.png'
22.7131 	EXP 	cue: autoDraw = True
22.8385 	EXP 	cue: autoDraw = False
24.3700 	EXP 	stimulus: autoDraw = True
24.4948 	EXP 	stimulus: autoDraw = False
24.7451 	DATA 	Keypress: tab
26.9626 	EXP 	New trial (rep=0, index=1): {u'stimFile': u'+.png', u'corrAns': None}
27.0441 	EXP 	cue: autoDraw = False
27.0441 	EXP 	stimulus: autoDraw = False
27.0441 	EXP 	stimulus: image = u'+.png'
27.1645 	EXP 	cue: autoDraw = True
27.2899 	EXP 	cue: autoDraw = False
28.8208 	EXP 	stimulus: autoDraw = True
28.9308 	EXP 	stimulus: autoDraw = False
31.4160 	EXP 	New trial (rep=1, index=0): {u'stimFile': u'+.png', u'corrAns': None}
31.4627 	EXP 	cue: autoDraw = False
31.4627 	EXP 	stimulus: autoDraw = False
31.4627 	EXP 	stimulus: image = u'+.png'
31.6183 	EXP 	cue: autoDraw = True
31.7432 	EXP 	cue: autoDraw = False
33.2748 	EXP 	stimulus: autoDraw = True
33.3997 	EXP 	stimulus: autoDraw = False
35.8547 	EXP 	New trial (rep=1, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
36.1041 	EXP 	cue: autoDraw = False
36.1041 	EXP 	stimulus: autoDraw = False
36.1041 	EXP 	stimulus: image = u'x.png'
36.1041 	EXP 	cue: autoDraw = True
36.1662 	EXP 	cue: autoDraw = False
37.6981 	EXP 	stimulus: autoDraw = True
37.8234 	EXP 	stimulus: autoDraw = False
38.1361 	DATA 	Keypress: tab
40.2934 	EXP 	New trial (rep=2, index=0): {u'stimFile': u'+.png', u'corrAns': None}
40.3561 	EXP 	cue: autoDraw = False
40.3561 	EXP 	stimulus: autoDraw = False
40.3561 	EXP 	stimulus: image = u'+.png'
40.4732 	EXP 	cue: autoDraw = True
40.5910 	EXP 	cue: autoDraw = False
42.1337 	EXP 	stimulus: autoDraw = True
42.2587 	EXP 	stimulus: autoDraw = False
44.7292 	EXP 	New trial (rep=2, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
44.9783 	EXP 	cue: autoDraw = False
44.9783 	EXP 	stimulus: autoDraw = False
44.9783 	EXP 	stimulus: image = u'x.png'
44.9783 	EXP 	cue: autoDraw = True
45.0406 	EXP 	cue: autoDraw = False
46.5878 	EXP 	stimulus: autoDraw = True
46.7126 	EXP 	stimulus: autoDraw = False
47.0256 	DATA 	Keypress: tab
49.1832 	EXP 	New trial (rep=3, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
49.3852 	EXP 	cue: autoDraw = False
49.3852 	EXP 	stimulus: autoDraw = False
49.3852 	EXP 	stimulus: image = u'x.png'
49.3852 	EXP 	cue: autoDraw = True
49.5101 	EXP 	cue: autoDraw = False
51.0237 	EXP 	stimulus: autoDraw = True
51.1485 	EXP 	stimulus: autoDraw = False
51.5863 	DATA 	Keypress: tab
53.6186 	EXP 	New trial (rep=3, index=1): {u'stimFile': u'+.png', u'corrAns': None}
53.6809 	EXP 	cue: autoDraw = False
53.6809 	EXP 	stimulus: autoDraw = False
53.6809 	EXP 	stimulus: image = u'+.png'
53.8048 	EXP 	cue: autoDraw = True
53.9302 	EXP 	cue: autoDraw = False
55.4497 	EXP 	stimulus: autoDraw = True
55.5667 	EXP 	stimulus: autoDraw = False
58.0570 	EXP 	New trial (rep=4, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
58.3069 	EXP 	cue: autoDraw = False
58.3069 	EXP 	stimulus: autoDraw = False
58.3069 	EXP 	stimulus: image = u'x.png'
58.3069 	EXP 	cue: autoDraw = True
58.3691 	EXP 	cue: autoDraw = False
59.9000 	EXP 	stimulus: autoDraw = True
60.0250 	EXP 	stimulus: autoDraw = False
60.6202 	DATA 	Keypress: tab
62.5113 	EXP 	New trial (rep=4, index=1): {u'stimFile': u'+.png', u'corrAns': None}
62.5739 	EXP 	cue: autoDraw = False
62.5739 	EXP 	stimulus: autoDraw = False
62.5739 	EXP 	stimulus: image = u'+.png'
62.6981 	EXP 	cue: autoDraw = True
62.8227 	EXP 	cue: autoDraw = False
64.3541 	EXP 	stimulus: autoDraw = True
64.4792 	EXP 	stimulus: autoDraw = False
66.9492 	EXP 	New trial (rep=5, index=0): {u'stimFile': u'+.png', u'corrAns': None}
66.9951 	EXP 	cue: autoDraw = False
66.9951 	EXP 	stimulus: autoDraw = False
66.9951 	EXP 	stimulus: image = u'+.png'
67.1512 	EXP 	cue: autoDraw = True
67.2762 	EXP 	cue: autoDraw = False
68.8081 	EXP 	stimulus: autoDraw = True
68.9331 	EXP 	stimulus: autoDraw = False
71.3853 	EXP 	New trial (rep=5, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
71.6814 	EXP 	cue: autoDraw = False
71.6814 	EXP 	stimulus: autoDraw = False
71.6814 	EXP 	stimulus: image = u'x.png'
71.6814 	EXP 	cue: autoDraw = True
71.7125 	EXP 	cue: autoDraw = False
