stimFile,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_respons.keys,key_respons.corr,key_respons.rt,session,noise,participant,frameRate,expName,date,
x.png,tab,0,0,0,1,tab,1,0.450024843216,4,n,MMA17,60.0983225559,go_no-go,2017_maj_25_2109,
+.png,None,0,1,1,0,None,1,,4,n,MMA17,60.0983225559,go_no-go,2017_maj_25_2109,
+.png,None,1,0,2,0,None,1,,4,n,MMA17,60.0983225559,go_no-go,2017_maj_25_2109,
x.png,tab,1,1,3,1,tab,1,0.333494186401,4,n,MMA17,60.0983225559,go_no-go,2017_maj_25_2109,
x.png,tab,2,0,4,1,tab,1,0.999904870987,4,n,MMA17,60.0983225559,go_no-go,2017_maj_25_2109,
+.png,None,2,1,5,0,None,1,,4,n,MMA17,60.0983225559,go_no-go,2017_maj_25_2109,
+.png,None,3,0,6,0,None,1,,4,n,MMA17,60.0983225559,go_no-go,2017_maj_25_2109,
x.png,tab,3,1,7,1,tab,1,0.516969919205,4,n,MMA17,60.0983225559,go_no-go,2017_maj_25_2109,
+.png,None,4,0,8,0,None,1,,4,n,MMA17,60.0983225559,go_no-go,2017_maj_25_2109,
x.png,tab,4,1,9,1,tab,1,0.350101947784,4,n,MMA17,60.0983225559,go_no-go,2017_maj_25_2109,
+.png,None,5,0,10,0,None,1,,4,n,MMA17,60.0983225559,go_no-go,2017_maj_25_2109,
x.png,tab,5,1,11,1,tab,1,0.53383898735,4,n,MMA17,60.0983225559,go_no-go,2017_maj_25_2109,
+.png,None,6,0,12,0,None,1,,4,n,MMA17,60.0983225559,go_no-go,2017_maj_25_2109,
x.png,tab,6,1,13,1,tab,1,0.516629934311,4,n,MMA17,60.0983225559,go_no-go,2017_maj_25_2109,
x.png,tab,7,0,14,1,tab,1,0.466667890549,4,n,MMA17,60.0983225559,go_no-go,2017_maj_25_2109,
+.png,None,7,1,15,0,None,1,,4,n,MMA17,60.0983225559,go_no-go,2017_maj_25_2109,
x.png,tab,8,0,16,1,tab,1,0.367280960083,4,n,MMA17,60.0983225559,go_no-go,2017_maj_25_2109,
+.png,None,8,1,17,0,None,1,,4,n,MMA17,60.0983225559,go_no-go,2017_maj_25_2109,
+.png,None,9,0,18,0,None,1,,4,n,MMA17,60.0983225559,go_no-go,2017_maj_25_2109,
x.png,tab,9,1,19,1,tab,1,0.400063037872,4,n,MMA17,60.0983225559,go_no-go,2017_maj_25_2109,
x.png,tab,10,0,20,1,tab,1,0.41672706604,4,n,MMA17,60.0983225559,go_no-go,2017_maj_25_2109,
+.png,None,10,1,21,0,None,1,,4,n,MMA17,60.0983225559,go_no-go,2017_maj_25_2109,
+.png,None,11,0,22,0,None,1,,4,n,MMA17,60.0983225559,go_no-go,2017_maj_25_2109,
x.png,tab,11,1,23,1,tab,1,0.316737890244,4,n,MMA17,60.0983225559,go_no-go,2017_maj_25_2109,
x.png,tab,12,0,24,1,tab,1,0.300096988678,4,n,MMA17,60.0983225559,go_no-go,2017_maj_25_2109,
