444.2552 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f31833acb90>, name='window1', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
444.2552 	EXP 	window1: recordFrameIntervals = False
444.4210 	EXP 	window1: recordFrameIntervals = True
444.6211 	WARNING 	t of last frame was 33.55ms (=1/29)
444.7877 	EXP 	window1: recordFrameIntervals = False
445.0243 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.085, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
445.0555 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x7f318beee0d0>: vertices = array([[-1.5,  1.5],
       [ 1.5,  1.5],
       [ 1.5, -1.5],
       [-1.5, -1.5]])
445.0573 	EXP 	Created cue = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([-1., -1., -1.]), fillColorSpace='rgb', fillRGB=array([-1., -1., -1.]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=1, name='cue', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...))
445.0705 	EXP 	Created stimulus = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stimulus', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.25,  0.5 ]), texRes=128, units=u'norm', win=Window(...))
445.0734 	EXP 	text: autoDraw = True
469.9776 	DATA 	Keypress: tab
470.0245 	EXP 	Imported condtitions.xlsx as conditions, 2 conditions, 2 params
470.0250 	EXP 	Created sequence: random, trialTypes=2, nReps=30, seed=None
470.0255 	EXP 	New trial (rep=0, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
470.1358 	EXP 	text: autoDraw = False
470.1358 	EXP 	stimulus: image = u'x.png'
470.1358 	EXP 	cue: autoDraw = True
470.2105 	EXP 	cue: autoDraw = False
471.6932 	EXP 	stimulus: autoDraw = True
471.8432 	EXP 	stimulus: autoDraw = False
472.2932 	DATA 	Keypress: tab
474.2935 	EXP 	New trial (rep=0, index=1): {u'stimFile': u'+.png', u'corrAns': None}
474.3088 	EXP 	cue: autoDraw = False
474.3088 	EXP 	stimulus: autoDraw = False
474.3088 	EXP 	stimulus: image = u'+.png'
474.3088 	EXP 	cue: autoDraw = True
474.4754 	EXP 	cue: autoDraw = False
475.9748 	EXP 	stimulus: autoDraw = True
476.1081 	EXP 	stimulus: autoDraw = False
478.5913 	EXP 	New trial (rep=1, index=0): {u'stimFile': u'+.png', u'corrAns': None}
478.6071 	EXP 	cue: autoDraw = False
478.6071 	EXP 	stimulus: autoDraw = False
478.6071 	EXP 	stimulus: image = u'+.png'
478.6071 	EXP 	cue: autoDraw = True
478.7570 	EXP 	cue: autoDraw = False
480.2731 	EXP 	stimulus: autoDraw = True
480.4065 	EXP 	stimulus: autoDraw = False
482.8895 	EXP 	New trial (rep=1, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
482.9750 	EXP 	cue: autoDraw = False
482.9750 	EXP 	stimulus: autoDraw = False
482.9750 	EXP 	stimulus: image = u'x.png'
482.9750 	EXP 	cue: autoDraw = True
483.0553 	EXP 	cue: autoDraw = False
484.5714 	EXP 	stimulus: autoDraw = True
484.7046 	EXP 	stimulus: autoDraw = False
485.0547 	DATA 	Keypress: tab
487.1878 	EXP 	New trial (rep=2, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
487.2694 	EXP 	cue: autoDraw = False
487.2694 	EXP 	stimulus: autoDraw = False
487.2694 	EXP 	stimulus: image = u'x.png'
487.2694 	EXP 	cue: autoDraw = True
487.3536 	EXP 	cue: autoDraw = False
488.8700 	EXP 	stimulus: autoDraw = True
489.0033 	EXP 	stimulus: autoDraw = False
490.0198 	DATA 	Keypress: tab
491.4872 	EXP 	New trial (rep=2, index=1): {u'stimFile': u'+.png', u'corrAns': None}
491.5023 	EXP 	cue: autoDraw = False
491.5023 	EXP 	stimulus: autoDraw = False
491.5023 	EXP 	stimulus: image = u'+.png'
491.5023 	EXP 	cue: autoDraw = True
491.6522 	EXP 	cue: autoDraw = False
493.1683 	EXP 	stimulus: autoDraw = True
493.3016 	EXP 	stimulus: autoDraw = False
495.7853 	EXP 	New trial (rep=3, index=0): {u'stimFile': u'+.png', u'corrAns': None}
495.8007 	EXP 	cue: autoDraw = False
495.8007 	EXP 	stimulus: autoDraw = False
495.8007 	EXP 	stimulus: image = u'+.png'
495.8007 	EXP 	cue: autoDraw = True
495.9505 	EXP 	cue: autoDraw = False
497.4666 	EXP 	stimulus: autoDraw = True
497.5999 	EXP 	stimulus: autoDraw = False
500.0831 	EXP 	New trial (rep=3, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
500.1688 	EXP 	cue: autoDraw = False
500.1688 	EXP 	stimulus: autoDraw = False
500.1688 	EXP 	stimulus: image = u'x.png'
500.1688 	EXP 	cue: autoDraw = True
500.2488 	EXP 	cue: autoDraw = False
501.7648 	EXP 	stimulus: autoDraw = True
501.8981 	EXP 	stimulus: autoDraw = False
502.4317 	DATA 	Keypress: tab
504.3817 	EXP 	New trial (rep=4, index=0): {u'stimFile': u'+.png', u'corrAns': None}
504.3971 	EXP 	cue: autoDraw = False
504.3971 	EXP 	stimulus: autoDraw = False
504.3971 	EXP 	stimulus: image = u'+.png'
504.3971 	EXP 	cue: autoDraw = True
504.5470 	EXP 	cue: autoDraw = False
506.0632 	EXP 	stimulus: autoDraw = True
506.1963 	EXP 	stimulus: autoDraw = False
508.6797 	EXP 	New trial (rep=4, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
508.7681 	EXP 	cue: autoDraw = False
508.7681 	EXP 	stimulus: autoDraw = False
508.7681 	EXP 	stimulus: image = u'x.png'
508.7681 	EXP 	cue: autoDraw = True
508.8453 	EXP 	cue: autoDraw = False
510.3609 	EXP 	stimulus: autoDraw = True
510.4942 	EXP 	stimulus: autoDraw = False
510.8609 	DATA 	Keypress: tab
512.9775 	EXP 	New trial (rep=5, index=0): {u'stimFile': u'+.png', u'corrAns': None}
512.9931 	EXP 	cue: autoDraw = False
512.9931 	EXP 	stimulus: autoDraw = False
512.9931 	EXP 	stimulus: image = u'+.png'
512.9931 	EXP 	cue: autoDraw = True
513.1432 	EXP 	cue: autoDraw = False
514.6592 	EXP 	stimulus: autoDraw = True
514.7925 	EXP 	stimulus: autoDraw = False
517.2756 	EXP 	New trial (rep=5, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
517.3597 	EXP 	cue: autoDraw = False
517.3597 	EXP 	stimulus: autoDraw = False
517.3597 	EXP 	stimulus: image = u'x.png'
517.3597 	EXP 	cue: autoDraw = True
517.4413 	EXP 	cue: autoDraw = False
518.9574 	EXP 	stimulus: autoDraw = True
519.0909 	EXP 	stimulus: autoDraw = False
519.6578 	DATA 	Keypress: tab
521.5740 	EXP 	New trial (rep=6, index=0): {u'stimFile': u'+.png', u'corrAns': None}
521.5897 	EXP 	cue: autoDraw = False
521.5897 	EXP 	stimulus: autoDraw = False
521.5897 	EXP 	stimulus: image = u'+.png'
521.5897 	EXP 	cue: autoDraw = True
521.7397 	EXP 	cue: autoDraw = False
523.2557 	EXP 	stimulus: autoDraw = True
523.4056 	EXP 	stimulus: autoDraw = False
525.8722 	EXP 	New trial (rep=6, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
525.9543 	EXP 	cue: autoDraw = False
525.9543 	EXP 	stimulus: autoDraw = False
525.9543 	EXP 	stimulus: image = u'x.png'
525.9543 	EXP 	cue: autoDraw = True
526.0546 	EXP 	cue: autoDraw = False
527.5540 	EXP 	stimulus: autoDraw = True
527.6872 	EXP 	stimulus: autoDraw = False
528.2206 	DATA 	Keypress: tab
530.1706 	EXP 	New trial (rep=7, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
530.2479 	EXP 	cue: autoDraw = False
530.2479 	EXP 	stimulus: autoDraw = False
530.2479 	EXP 	stimulus: image = u'x.png'
530.2479 	EXP 	cue: autoDraw = True
530.3362 	EXP 	cue: autoDraw = False
531.8522 	EXP 	stimulus: autoDraw = True
531.9855 	EXP 	stimulus: autoDraw = False
532.4688 	DATA 	Keypress: tab
534.4688 	EXP 	New trial (rep=7, index=1): {u'stimFile': u'+.png', u'corrAns': None}
534.4843 	EXP 	cue: autoDraw = False
534.4843 	EXP 	stimulus: autoDraw = False
534.4843 	EXP 	stimulus: image = u'+.png'
534.4843 	EXP 	cue: autoDraw = True
534.6344 	EXP 	cue: autoDraw = False
536.1505 	EXP 	stimulus: autoDraw = True
536.2838 	EXP 	stimulus: autoDraw = False
538.7669 	EXP 	New trial (rep=8, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
538.8483 	EXP 	cue: autoDraw = False
538.8483 	EXP 	stimulus: autoDraw = False
538.8483 	EXP 	stimulus: image = u'x.png'
538.8483 	EXP 	cue: autoDraw = True
538.9327 	EXP 	cue: autoDraw = False
540.4487 	EXP 	stimulus: autoDraw = True
540.5820 	EXP 	stimulus: autoDraw = False
540.9660 	DATA 	Keypress: tab
543.0653 	EXP 	New trial (rep=8, index=1): {u'stimFile': u'+.png', u'corrAns': None}
543.0976 	EXP 	cue: autoDraw = False
543.0976 	EXP 	stimulus: autoDraw = False
543.0976 	EXP 	stimulus: image = u'+.png'
543.0976 	EXP 	cue: autoDraw = True
543.2309 	EXP 	cue: autoDraw = False
544.7470 	EXP 	stimulus: autoDraw = True
544.8803 	EXP 	stimulus: autoDraw = False
547.3635 	EXP 	New trial (rep=9, index=0): {u'stimFile': u'+.png', u'corrAns': None}
547.3792 	EXP 	cue: autoDraw = False
547.3792 	EXP 	stimulus: autoDraw = False
547.3792 	EXP 	stimulus: image = u'+.png'
547.3792 	EXP 	cue: autoDraw = True
547.5292 	EXP 	cue: autoDraw = False
549.0453 	EXP 	stimulus: autoDraw = True
549.1785 	EXP 	stimulus: autoDraw = False
551.6618 	EXP 	New trial (rep=9, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
551.7457 	EXP 	cue: autoDraw = False
551.7457 	EXP 	stimulus: autoDraw = False
551.7457 	EXP 	stimulus: image = u'x.png'
551.7457 	EXP 	cue: autoDraw = True
551.8275 	EXP 	cue: autoDraw = False
553.3436 	EXP 	stimulus: autoDraw = True
553.4768 	EXP 	stimulus: autoDraw = False
553.8935 	DATA 	Keypress: tab
555.9601 	EXP 	New trial (rep=10, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
556.0358 	EXP 	cue: autoDraw = False
556.0358 	EXP 	stimulus: autoDraw = False
556.0358 	EXP 	stimulus: image = u'x.png'
556.0358 	EXP 	cue: autoDraw = True
556.1258 	EXP 	cue: autoDraw = False
557.6418 	EXP 	stimulus: autoDraw = True
557.7751 	EXP 	stimulus: autoDraw = False
558.2084 	DATA 	Keypress: tab
560.2584 	EXP 	New trial (rep=10, index=1): {u'stimFile': u'+.png', u'corrAns': None}
560.2741 	EXP 	cue: autoDraw = False
560.2741 	EXP 	stimulus: autoDraw = False
560.2741 	EXP 	stimulus: image = u'+.png'
560.2741 	EXP 	cue: autoDraw = True
560.4239 	EXP 	cue: autoDraw = False
561.9400 	EXP 	stimulus: autoDraw = True
562.0733 	EXP 	stimulus: autoDraw = False
564.5565 	EXP 	New trial (rep=11, index=0): {u'stimFile': u'+.png', u'corrAns': None}
564.5722 	EXP 	cue: autoDraw = False
564.5722 	EXP 	stimulus: autoDraw = False
564.5722 	EXP 	stimulus: image = u'+.png'
564.5722 	EXP 	cue: autoDraw = True
564.7222 	EXP 	cue: autoDraw = False
566.2383 	EXP 	stimulus: autoDraw = True
566.3715 	EXP 	stimulus: autoDraw = False
568.8548 	EXP 	New trial (rep=11, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
568.9367 	EXP 	cue: autoDraw = False
568.9367 	EXP 	stimulus: autoDraw = False
568.9367 	EXP 	stimulus: image = u'x.png'
568.9367 	EXP 	cue: autoDraw = True
