11.9393 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x09496F90>, name='window1', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
11.9393 	EXP 	window1: recordFrameIntervals = False
12.2508 	EXP 	window1: recordFrameIntervals = True
12.5952 	EXP 	window1: recordFrameIntervals = False
12.8597 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.085, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
12.9968 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x080B9410>: vertices = array([[-1.5,  1.5],
       [ 1.5,  1.5],
       [ 1.5, -1.5],
       [-1.5, -1.5]])
13.0005 	EXP 	Created cue = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([-1., -1., -1.]), fillColorSpace='rgb', fillRGB=array([-1., -1., -1.]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1., -1., -1.]), lineWidth=1, name='cue', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='cm', vertices=ndarray(...), win=Window(...))
13.0048 	EXP 	Created stimulus = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='stimulus', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.25,  0.5 ]), texRes=128, units=u'norm', win=Window(...))
13.0326 	EXP 	text: autoDraw = True
37.7208 	DATA 	Keypress: space
37.7773 	EXP 	Imported condtitions.xlsx as conditions, 2 conditions, 2 params
37.7781 	EXP 	Created sequence: random, trialTypes=2, nReps=30, seed=None
37.7787 	EXP 	New trial (rep=0, index=0): {u'stimFile': u'x.png', u'corrAns': u'space'}
37.9709 	EXP 	text: autoDraw = False
37.9709 	EXP 	stimulus: image = u'x.png'
37.9709 	EXP 	cue: autoDraw = True
38.0956 	EXP 	cue: autoDraw = False
39.6270 	EXP 	stimulus: autoDraw = True
39.7520 	EXP 	stimulus: autoDraw = False
40.1584 	DATA 	Keypress: space
42.1752 	EXP 	New trial (rep=0, index=1): {u'stimFile': u'+.png', u'corrAns': None}
42.2874 	EXP 	cue: autoDraw = False
42.2874 	EXP 	stimulus: autoDraw = False
42.2874 	EXP 	stimulus: image = u'+.png'
42.3622 	EXP 	cue: autoDraw = True
42.4867 	EXP 	cue: autoDraw = False
44.0181 	EXP 	stimulus: autoDraw = True
44.1430 	EXP 	stimulus: autoDraw = False
46.6184 	EXP 	New trial (rep=1, index=0): {u'stimFile': u'x.png', u'corrAns': u'space'}
46.7990 	EXP 	cue: autoDraw = False
46.7990 	EXP 	stimulus: autoDraw = False
46.7990 	EXP 	stimulus: image = u'x.png'
46.8304 	EXP 	cue: autoDraw = True
46.9552 	EXP 	cue: autoDraw = False
48.4718 	EXP 	stimulus: autoDraw = True
48.5968 	EXP 	stimulus: autoDraw = False
48.7535 	DATA 	Keypress: space
49.0659 	DATA 	Keypress: space
51.0668 	EXP 	New trial (rep=1, index=1): {u'stimFile': u'+.png', u'corrAns': None}
51.1293 	EXP 	cue: autoDraw = False
51.1293 	EXP 	stimulus: autoDraw = False
51.1293 	EXP 	stimulus: image = u'+.png'
51.2531 	EXP 	cue: autoDraw = True
51.3635 	EXP 	cue: autoDraw = False
52.9237 	EXP 	stimulus: autoDraw = True
53.0483 	EXP 	stimulus: autoDraw = False
55.5187 	EXP 	New trial (rep=2, index=0): {u'stimFile': u'+.png', u'corrAns': None}
55.5647 	EXP 	cue: autoDraw = False
55.5647 	EXP 	stimulus: autoDraw = False
55.5647 	EXP 	stimulus: image = u'+.png'
55.7211 	EXP 	cue: autoDraw = True
55.8458 	EXP 	cue: autoDraw = False
57.3767 	EXP 	stimulus: autoDraw = True
57.4873 	EXP 	stimulus: autoDraw = False
59.9575 	EXP 	New trial (rep=2, index=1): {u'stimFile': u'x.png', u'corrAns': u'space'}
60.2378 	EXP 	cue: autoDraw = False
60.2378 	EXP 	stimulus: autoDraw = False
60.2378 	EXP 	stimulus: image = u'x.png'
60.2378 	EXP 	cue: autoDraw = True
60.2689 	EXP 	cue: autoDraw = False
61.8148 	EXP 	stimulus: autoDraw = True
61.9396 	EXP 	stimulus: autoDraw = False
62.0965 	DATA 	Keypress: space
64.4098 	EXP 	New trial (rep=3, index=0): {u'stimFile': u'+.png', u'corrAns': None}
64.4722 	EXP 	cue: autoDraw = False
64.4722 	EXP 	stimulus: autoDraw = False
64.4722 	EXP 	stimulus: image = u'+.png'
64.5966 	EXP 	cue: autoDraw = True
64.7213 	EXP 	cue: autoDraw = False
66.2527 	EXP 	stimulus: autoDraw = True
66.3643 	EXP 	stimulus: autoDraw = False
68.8466 	EXP 	New trial (rep=3, index=1): {u'stimFile': u'x.png', u'corrAns': u'space'}
69.0331 	EXP 	cue: autoDraw = False
69.0331 	EXP 	stimulus: autoDraw = False
69.0331 	EXP 	stimulus: image = u'x.png'
69.0331 	EXP 	cue: autoDraw = True
