stimFile,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_respons.keys,key_respons.corr,key_respons.rt,session,noise,participant,frameRate,expName,date,
x.png,space,0,0,0,1,space,1,0.453791660082,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
+.png,None,0,1,1,0,None,1,,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
+.png,None,1,0,2,0,None,1,,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
x.png,space,1,1,3,1,space,1,0.12571171025,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
x.png,space,2,0,4,1,space,1,0.156820124015,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
+.png,None,2,1,5,0,None,1,,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
x.png,space,3,0,6,1,space,1,0.187530038063,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
+.png,None,3,1,7,0,None,1,,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
+.png,None,4,0,8,0,None,1,,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
x.png,space,4,1,9,1,space,1,0.187900870398,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
x.png,space,5,0,10,1,space,1,0.188214582915,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
+.png,None,5,1,11,0,None,1,,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
x.png,space,6,0,12,1,space,1,0.125183352269,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
+.png,None,6,1,13,0,None,1,,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
x.png,space,7,0,14,1,space,1,0.156460894155,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
+.png,None,7,1,15,0,None,1,,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
+.png,None,8,0,16,0,space,0,0.156404220616,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
x.png,space,8,1,17,1,space,1,0.200944707554,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
+.png,None,9,0,18,0,None,1,,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
x.png,space,9,1,19,1,space,1,0.312987832993,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
x.png,space,10,0,20,1,space,1,0.344085536839,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
+.png,None,10,1,21,0,None,1,,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
x.png,space,11,0,22,1,space,1,0.218973138079,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
+.png,None,11,1,23,0,None,1,,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
x.png,space,12,0,24,1,space,1,0.156740691862,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
+.png,None,12,1,25,0,None,1,,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
+.png,None,13,0,26,0,None,1,,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
x.png,space,13,1,27,1,space,1,0.187657218834,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
x.png,space,14,0,28,1,space,1,0.719575796335,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
+.png,None,14,1,29,0,None,1,,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
+.png,None,15,0,30,0,None,1,,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
x.png,space,15,1,31,1,space,1,0.218956626893,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
x.png,space,16,0,32,1,space,1,0.250494331529,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
+.png,None,16,1,33,0,None,1,,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
+.png,None,17,0,34,0,None,1,,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
x.png,space,17,1,35,1,space,1,0.223038906115,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
x.png,space,18,0,36,1,space,1,0.125358727877,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
+.png,None,18,1,37,0,None,1,,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
x.png,space,19,0,38,1,space,1,0.220013789076,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
+.png,None,19,1,39,0,None,1,,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
+.png,None,20,0,40,0,space,0,0.220352937758,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
x.png,space,20,1,41,1,space,1,0.156363612041,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
+.png,None,21,0,42,0,None,1,,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
x.png,space,21,1,43,1,space,1,0.187881235499,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
x.png,space,22,0,44,1,space,1,0.399572494149,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
+.png,None,22,1,45,0,None,1,,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
x.png,space,23,0,46,1,space,1,0.18783348694,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
+.png,None,23,1,47,0,None,1,,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
+.png,None,24,0,48,0,None,1,,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
x.png,space,24,1,49,1,space,1,0.218804456235,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
+.png,None,25,0,50,0,None,1,,1,y,judo_1,31.9807194183,go_no-go,2017_maj_23_1541,
